調査年月日,2023/9/10,2023/9/28,2023/10/4,2023/10/15,2023/10/31,2023/11/3,2023/11/18,2023/11/23,2023/11/27,2023/12/5,2023/12/17,2023/12/26,2024/1/8,2024/1/13,2024/1/29,2024/2/6,2024/2/12,2024/2/29,2024/3/4,2024/3/17,2024/3/26,2024/4/8,2024/4/16,2024/4/30,2024/5/2,2024/5/16,2024/5/29
(亜種)ヒシクイ 【1】,,46,,45,40,100,,31,53,,,,,,,,,,,,,,,,,,
コクガン 【3】,,,,,,100,,350,71,,,,,,,,,,,,,,,,,,
オオハクチョウ 【1】,,,,,38,50,100,50,12,,,,,,,,,,,37,580,200,15,,,,
ヒドリガモ 【1】,300,3200,,2200,,,,230,,,,,,,,,,,,,,100,800,420,,50,
マガモ 【2】,12,500,,100,,,,100,,,,,,,,,,,,,,,,,,,12
ハシビロガモ 【3】,,280,,10,,,,20,,,,,,,,,,,,,,,,120,30,,18
オナガガモ 【2】,100,,,,,,,180,,,,,,,,,,,,,,300,885,480,200,2,32
コガモ 【3】,,200,,,,,,,,,,,,,,,,,,,,,,,,2,
スズガモ 【2】,500,500,,,,100,,,,,,,,,,,,,,,,,,12000,1000,5000,320
クロガモ 【3】,5,,,4,,,,,,,,,,,,,,,20,18,,20,15,,40,5,
ホオジロガモ 【3】,,,,,,,,,,,,,,,,,,,,,,2,,,,,
カワアイサ 【3】,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ウミアイサ 【3】,,,,,,100,,20,,,,,,,,,,,,,,30,2,40,2,,
ハジロカイツブリ,,500,,,200,50,,,250,,,,,,,,,,,,,,,,,,
ヒメウ,,,,,,,,,,,,,,,,,,,,,,1,,,,,
カワウ 【3】,201,,,,,,,,,,,,,,,,,,,,,,60,17,,150,
アマサギ,,,,,,,,,,,,,,,,,,,,,,,,55,,,
アオサギ 【3】,18,60,,17,,,,,,,,,,,,,,,,,2,10,,,20,,27
ダイサギ,12,20,,,,,,,,,,,,,,,,,,,,,,,,,
アマツバメ,10,,,,,,,,,,,,,,,,,,,,,,,,,,
キョウジョシギ,,,,,,,,,,,,,,,,,,,,,,,,,,41,5
ユリカモメ 【1】,,,,,,110,,,,,,,,,,,,,,,,,11,,,,
ウミネコ 【3】,,,,,,,,,,,,,,,,,,,,,,,,,2,,
シロカモメ 【3】,,,,,,,,,8,,,,,,,,,,,,,,3,,,,
オオセグロカモメ 【3】,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,
アジサシ,,,,,,,,,,,,,,,,,,,,,,1,,,,,
トビ 【3】,1,,10,,8,2,,,,1,2,,1,,,,,3,,,1,,,,,,
オジロワシ 【2】,,5,,,2,1,,,4,,,1,,,2,,1,1,1,,,3,,,,,1
オオワシ 【2】,,,,,,,,,,,,,,,11,,,1,,2,,,,,,,
ハイタカ,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ノスリ 【2】,,,,,,,,,,,,,,,,,,,,,,,1,,,,
ハヤブサ 【1】,,,,1,,,,,,,,,,,,,,,,,,,,,,,
ハシボソガラス,,,,,,,,,7,1,,5,2,,,,5,,5,1,1,5,,,2,3,24
ハシブトガラス,,35,,,6,,,,,,,,,,,,,4,,,,,,,,,
ヒバリ,,,,,,,,,,,,,,,,,,,,,,4,,,,,
ノビタキ,,,,,,,,,,,,,,,,,,,,,,,1,,,,
タヒバリ,,,50,1,,,,,,,,,,,,,,,,,,,,,,,
カワラヒワ,,,,,,,,,,,,2,,,,,,,,,,,,,,,
ベニヒワ,,,,,,,,300,,,250,,,,,,1,,,,,,,,,,
ベニマシコ,,,,,,,,,,,,,,,,,,,,,,,,,,2,
カモメ科 【3】,,400,200,,700,,30,,,80,,,,,,,,,,,17,,,40,,,
カラス科,,,,,,,,,,,,,,,4,,,,,,,,,,,,
カモ類,500,,5000,2000,3000,1000,200,,1094,,,,,,,,,,,,849,,500,,,,
カラス類,,,,,,,,,,,,,,,,,,,,,,,,22,,,
