調査年月日,2023/9/10,2023/9/17,2023/9/24,2023/10/1,2023/10/14,2023/10/22,2023/11/5,2023/11/12,2023/11/26,2023/12/3,2023/12/17,2023/12/24,2024/1/1,2024/1/14,2024/1/28,2024/2/4,2024/2/11,2024/2/23,2024/3/3,2024/3/17,2024/3/24,2024/4/7,2024/4/14,2024/4/28,2024/5/3,2024/5/12,2024/5/26
オカヨシガモ 【3】,,,,,,,,11,66,38,15,57,10,,,,,9,25,,3,2,,,,,
ヒドリガモ 【1】,,,,2,1,,,3,53,82,84,121,123,107,39,102,80,165,77,14,32,31,5,,,,
マガモ 【2】,,,,,,1,16,17,16,16,8,4,5,,6,4,2,,,,,2,2,,,,
カルガモ 【3】,19,8,10,14,20,24,12,30,29,14,11,4,7,10,15,17,2,6,2,9,3,5,8,3,5,3,5
ハシビロガモ 【3】,,,2,,1,,18,34,13,6,63,18,9,2,30,78,2,76,149,152,172,136,28,12,8,,
オナガガモ 【2】,,,25,2,31,4,206,178,250,199,71,266,217,94,101,556,397,919,306,12,89,4,1,,,,
コガモ 【3】,2,9,7,12,7,24,33,10,24,10,11,10,6,10,2,1,6,131,82,5,59,59,42,,,,
ホシハジロ 【2】,,,,,,,1,6,8,16,2,4,4,1,1,1,9,4,2,,,1,,,,,
キンクロハジロ 【1】,,,,,,,,1,,1,1,1,2,,,1,1,1,1,2,1,,,,,,
スズガモ 【2】,1,1,1,1,5,7,12,23,66,59,60,88,91,47,56,57,58,40,48,20,40,15,13,5,6,3,2
カイツブリ 【1】,5,2,5,3,3,1,6,6,4,6,4,5,5,1,8,8,9,7,7,6,6,7,2,1,1,1,5
カンムリカイツブリ 【1】,,,,,,,,,1,2,3,2,2,5,1,1,1,1,1,1,1,,,,,,
カワウ 【3】,71,74,57,78,107,121,114,49,4,12,8,3,1,2,4,5,4,4,7,3,14,12,9,9,8,19,61
ゴイサギ,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,33,24,31,26,34,19,15,21,18,10,21,11,13,13,11,5,13,12,18,16,23,22,10,11,7,6,3
ダイサギ,43,39,32,44,66,38,43,39,19,12,12,7,1,5,5,3,9,1,10,14,14,22,11,8,23,10,7
チュウサギ,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
コサギ,6,1,3,5,28,19,14,15,8,5,2,2,1,1,1,1,1,2,2,2,7,7,3,2,2,1,1
クイナ,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
ヒクイナ,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
バン,,1,,,,,,,,,,,,,,,,,,,,,,,,,
オオバン 【2】,,,,,,1,32,36,114,158,233,237,256,316,315,296,306,338,284,207,250,139,29,3,,,
ムナグロ,,,,,,,,,,,,,,,,,,,,,,,,,1,,
ダイゼン,28,,14,,,,,24,19,30,,28,31,31,27,24,,24,29,20,12,22,7,13,22,29,
コチドリ,,,,,,,,,,,,,,,,,,,,,,,,2,,,
シロチドリ,,,,,,,,,,1,,,,,,,,,,,,,,,,,
メダイチドリ,10,15,12,,5,1,,,,,,,,,,,,,,,,10,27,88,53,2,
オオメダイチドリ,,1,,,,,,,,,,,,,,,,,,,,,,,,,
セイタカシギ,,,,,,,,,,,,,,,,,,,,,,1,,,,,
タシギ,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
オオソリハシシギ,,,,,,,,,,,,,,,,,,,,,1,,4,50,17,31,
チュウシャクシギ,,,,,,,,,,,,,,,,,,,,,,,,76,111,135,
アカアシシギ,,,,,,1,,,,,,,,,,,,,,,,,,,,,
キアシシギ,5,3,1,1,,,,,,,,,,,,,,,,,,,,13,20,31,1
ソリハシシギ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
イソシギ,6,6,3,5,2,4,1,1,2,2,1,1,,1,1,1,,1,1,1,1,,,1,1,1,
キョウジョシギ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
オバシギ,,,,,,,,,,,,,,,,,,,,,,1,,,,,
ミユビシギ,,4,,,,,,,,,,,,,,,,,,,,,,,,,
トウネン,,4,1,,,,,,,,,,,1,,,,,,,,,,2,,34,
ハマシギ,1,3,,,13,54,2,249,206,276,67,424,232,305,489,1,,,,,42,,60,104,14,43,
アカエリヒレアシシギ,,28,,,,,,,,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,28,,,,,,,,2,1,,2,1,,9,4,3,1,1,1,32,2,25,,,,
ズグロカモメ 【3】,,,,,,,,,4,6,4,4,5,5,5,2,1,,,4,,,,,,,
ウミネコ 【3】,3,4,,5,1,,,1,,,,,,,,,,,,,,,,,,,
カモメ 【3】,,,,,,,,,,,,,,6,,,,,,1,,,,,,,
セグロカモメ 【3】,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,
コアジサシ,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,
ミサゴ 【3】,1,,1,1,,1,1,1,,,1,,1,1,,,1,,1,,,,,,,,
トビ 【3】,,,1,1,,,,,,,1,,1,,,,1,,1,,,,,,,,
ツミ 【3】,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,1
ハイタカ,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,
オオタカ 【1】,,,1,,,,1,,1,,,,,,1,,,,,,1,,,,,,
