調査年月日,2023/9/5,2023/9/15,2023/9/21,2023/10/4,2023/10/14,2023/10/25,2023/11/5,2023/11/16,2023/11/26,2023/12/3,2023/12/16,2023/12/23,2024/1/5,2024/1/16,2024/1/27,2024/2/4,2024/2/18,2024/2/24,2024/3/3,2024/3/13,2024/3/24,2024/4/5,2024/4/13,2024/4/24,2024/5/4,2024/5/18,2024/5/25
キジバト,10,2,3,4,3,2,6,2,6,1,4,3,3,4,4,4,4,4,4,5,3,5,8,9,5,7,6
ズアカアオバト,,,,,,,,,,,,,,,,,,,,,,,1,,,,
カワウ 【3】,,,,,,,,,8,,,2,,1,94,270,66,,4,,1,,,,,,
ササゴイ,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
アカガシラサギ,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
アマサギ,,,1,2,,,14,,,17,,2,,,,,,,,3,,,1,,,,
アオサギ 【3】,2,,7,6,3,5,2,9,5,2,5,9,7,7,5,11,2,1,6,7,,1,1,10,1,,
ダイサギ,3,7,23,56,15,36,8,5,6,6,4,3,7,4,2,6,4,5,5,5,4,7,7,6,4,5,4
チュウサギ,11,4,8,88,,5,2,1,2,2,1,3,,1,,,2,2,1,2,1,2,1,2,2,2,
コサギ,11,15,31,10,5,16,10,4,7,8,3,8,6,4,4,4,11,3,7,4,6,2,6,5,2,3,3
ヘラサギ,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,
クロツラヘラサギ,,1,2,2,1,2,1,,,,4,2,2,1,1,,,,2,2,,,3,5,4,5,3
シロハラクイナ,,,,,,,,,,,,,,,,,,,,,,,,,,1,
バン,3,3,2,3,4,3,1,3,4,3,3,1,1,2,3,4,2,5,3,1,2,2,,1,3,,1
ムナグロ,28,6,21,4,12,20,49,2,42,39,,31,,32,14,6,17,,13,,24,7,11,18,14,,
コチドリ,7,,,9,1,7,5,,2,9,,9,19,15,10,,32,,7,5,7,3,,,,,
シロチドリ,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,
オオメダイチドリ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
セイタカシギ,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2
タシギ,,,,,,,,,,,,2,1,,,,1,,,,2,2,,,,,
チュウシャクシギ,34,3,15,7,10,10,32,2,9,11,6,13,5,17,6,5,14,3,3,14,19,16,10,20,2,6,
ダイシャクシギ,,,,,,,,,,1,,1,,1,,,1,,,1,,,,,,,
アカアシシギ,19,2,23,24,5,8,34,10,21,22,11,40,13,36,8,6,16,14,18,5,11,1,,5,3,2,
アオアシシギ,3,,1,1,6,2,4,,5,1,4,5,4,2,2,3,3,4,3,3,1,3,4,6,2,,1
キアシシギ,51,9,6,1,4,,,,,1,,,,,,,,,,,,,,13,10,27,5
ソリハシシギ,10,,4,2,,,,,,,,,,,,,,,,,,,,,,,
イソシギ,11,4,13,6,11,7,17,7,11,7,4,13,9,11,5,4,20,4,5,2,7,9,7,13,6,4,1
キョウジョシギ,1,,,,,,,,,,,,,,,,,,,,,,,,2,,
トウネン,4,,2,,,,,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,1,,1,2,1,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,,,,,,,,,,1,,,,,,,,,,
オニアジサシ,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,
コアジサシ,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,2
クロハラアジサシ,,1,,,,,,,,,,,,,,,,,,,,,,3,11,2,
ミサゴ 【3】,1,,,3,1,4,4,2,3,5,2,5,3,3,2,1,3,1,1,3,1,1,2,3,1,,1
ツミ 【3】,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
ハイタカ,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
サシバ,,,,,1,2,2,,2,1,1,2,1,3,1,1,1,,,3,,,,,,,
カワセミ,1,2,1,1,,2,3,1,2,1,,3,1,1,,1,2,1,1,4,,1,,2,1,2,
ハヤブサ 【1】,,,,,,1,1,,1,1,,1,1,1,,,,,,1,,,,,,,
ハシブトガラス,10,8,7,10,7,10,8,4,15,3,5,4,3,2,6,5,17,5,5,6,5,4,19,18,5,11,3
シジュウカラ,5,1,1,7,1,2,5,,6,5,3,6,1,2,2,2,4,1,1,4,1,3,6,2,2,5,1
ツバメ,,,3,19,,1,,,,,,,,,,,,,,,,,,,,,
リュウキュウツバメ,1,,,,,,7,,,3,,,,,,,7,,,4,5,,4,2,,2,
シロガシラ,14,11,14,29,7,43,13,8,9,26,4,6,3,5,3,2,10,2,3,17,4,4,12,10,6,6,3
ヒヨドリ,14,7,8,14,6,9,14,7,10,6,9,11,6,8,6,9,12,9,7,14,14,11,10,11,8,16,7
ウグイス,,,,1,1,,1,,5,10,1,6,3,2,4,3,1,1,3,,3,1,,,,,
ムジセッカ,,,,,,,,,,,,,,,1,,,,,,,,,,,,
キマユムシクイ,,,,,,,,,,,,,,,,,1,,,,,,,,,,
コムシクイ,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
メジロ,12,7,10,13,3,10,18,9,24,45,12,20,6,14,6,3,10,9,7,18,4,11,10,10,8,21,8
ギンムクドリ,,,,,,,,,20,,,13,,,,,10,,,,,,,,,,
ムクドリ,20,,200,250,,286,300,,280,180,,250,,160,,,110,,,,,,1,,,,1
コムクドリ,,,,1650,,,,,,,,,,,,,,,,,,,55,53,,,
カラムクドリ,,,,,,,,,2,,,2,,,,,,,,,,,,,,,
ホシムクドリ,,,,,,,,,50,20,,20,,360,,,280,,,20,,,,,,,
シロハラ,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,
ジョウビタキ,,,,,,,,1,,,,,,,,,,,,,,,,,,,
イソヒヨドリ,3,2,2,8,2,3,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,3,4,1,2,1
スズメ,,,,,,,,,,,,,,,,,,,,,,,,1,,,
ツメナガセキレイ,,,,,,,1,,,,,,,,,,,,,,,,,,,,
キセキレイ,,,,,,,3,1,1,2,2,1,1,,,,2,1,1,1,1,,,,,,
ハクセキレイ,,,,,,2,3,,4,1,,1,1,2,,,,1,,,,,,,,,
ドバト,4,3,4,3,1,4,5,6,2,3,,,4,1,3,1,6,,1,1,,,1,1,,2,
シマキンパラ,,,15,20,,10,25,,15,5,,,,,,,,,,,,,,,,,
