調査年月日,2023/9/1,2023/9/12,2023/9/22,2023/10/2,2023/10/11,2023/10/23,2023/11/1,2023/11/15,2023/11/21,2023/12/4,2023/12/11,2023/12/21,2024/1/5,2024/1/11,2024/1/22,2024/2/2,2024/2/13,2024/2/21,2024/3/5,2024/3/15,2024/3/22,2024/4/1,2024/4/11,2024/4/22
(亜種)オオヒシクイ 【1】,,,,,4,,,24,4,12,,4,22,,,,,,4,,,,,
(亜種)ヒシクイ 【1】,,,,,21,,,,,,,,,,,,,,,,,,,
マガン 【1】,,,,,,1,1,,,,,,,,,21,,12,,,,,,
ハクガン 【3】,,,,,,,,,1,,,,,,,,,,,,,,,
コハクチョウ 【1】,,,,,873,5300,4100,3611,2602,2303,1186,1680,1299,557,507,629,509,161,53,28,,2,,
(亜種)アメリカコハクチョウ 【1】,,,,,,1,,,,,,,,,,,,,,,,,,
オオハクチョウ 【1】,,,,,,47,16,24,23,10,21,5,11,15,4,5,5,,,,,,,
オシドリ 【1】,6,6,13,10,,,,,,,,,,,,,,,,4,3,3,,
オカヨシガモ 【3】,,,,,,,,9,3,3,2,3,,,,,,,,,3,,,
ヨシガモ 【3】,,,,,,3,,4,5,6,7,10,7,4,6,,,,2,4,4,2,,3
ヒドリガモ 【1】,,,154,574,3380,1954,1618,1549,1184,1553,335,438,213,18,87,,15,8,17,20,17,14,,
マガモ 【2】,4,3,12,87,281,3467,3105,4900,6650,7900,3950,5450,6900,6700,6300,3100,4300,3580,4155,2928,,692,23,13
カルガモ 【3】,27,38,38,66,32,95,79,72,87,163,89,81,81,104,57,120,61,103,160,86,53,25,26,26
ハシビロガモ 【3】,,,,27,12,20,31,23,22,13,9,16,,4,,,,7,15,11,7,8,14,13
オナガガモ 【2】,13,5,708,7651,11200,3850,3355,2185,4160,3539,915,273,747,180,311,272,48,44,500,60,26,,,2
トモエガモ 【2】,,,,,,202,609,2433,2896,3228,1168,355,174,,,23,24,,166,22,,,,
コガモ 【3】,6,288,1448,8622,8100,4600,2605,999,2166,2922,906,1184,1380,511,930,267,293,593,529,672,335,303,195,131
ホシハジロ 【2】,,,5,18,4,21,27,24,15,11,22,17,20,16,32,10,18,39,20,26,15,12,23,8
キンクロハジロ 【1】,,,,5,8,11,13,4,13,4,,11,5,,,2,2,,,7,2,3,,1
ミコアイサ 【3】,,,,,,,,12,12,21,23,26,17,15,46,24,36,26,47,15,7,2,,
カワアイサ 【3】,,,,,,,,3,2,5,4,7,4,4,5,2,6,2,4,2,2,,,
カイツブリ 【1】,15,9,10,9,6,8,9,8,16,10,8,8,5,2,6,3,6,5,4,7,6,9,12,10
カンムリカイツブリ 【1】,14,14,17,13,9,11,15,14,16,14,11,9,6,1,4,2,6,4,1,6,5,6,8,9
カワウ 【3】,10,,1,,3,7,28,46,41,48,23,49,27,30,40,29,28,27,27,26,31,30,37,39
アカガシラサギ,,,,1,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,15,6,11,10,4,2,2,2,2,3,6,2,6,7,4,2,4,6,5,6,4,8,8,8
ダイサギ,11,5,4,,2,1,3,4,5,2,5,5,3,3,4,2,11,2,10,1,1,7,4,4
(亜種)チュウダイサギ,109,36,28,126,33,11,,,,,,,,,,,,,,,,,,
チュウサギ,8,,,,,,,,,,,,,,,,,,,,,,,
オオバン 【2】,2,,4,5,22,64,32,30,25,28,33,29,26,22,25,22,36,15,34,37,21,25,12,4
ミサゴ 【3】,1,1,1,1,1,1,,,,,,,,,,,,,,1,2,2,2,2
トビ 【3】,1,1,2,1,2,1,3,1,1,2,1,2,1,1,2,1,2,2,3,1,3,2,1,3
オジロワシ 【2】,,,,,,,,,,,,,,,1,,,1,,1,,,,
オオワシ 【2】,,,,,,,,,,1,1,,,1,1,,1,1,,,,,,
ハイタカ,,,,,,,,,1,,,,,,,,,,,,,,,
オオタカ 【1】,,1,1,1,1,1,,1,1,2,1,1,1,1,,1,2,2,2,1,1,1,2,2
ノスリ 【2】,,,,,,,,,,,,1,,1,,1,,,,,1,,,
