調査年月日,2023/9/5,2023/9/18,2023/9/25,2023/10/5,2023/10/15,2023/10/26,2023/11/6,2023/11/16,2023/11/24,2023/12/8,2023/12/19,2023/12/30,2024/1/6,2024/1/15,2024/1/26,2024/2/9,2024/2/15,2024/2/25,2024/3/4,2024/3/17,2024/3/25,2024/4/4,2024/4/17,2024/4/27,2024/5/5,2024/5/14,2024/5/24
(亜種)オオヒシクイ 【1】,,,,,25,24,41,263,196,134,301,476,574,586,577,301,277,155,195,4,4,,1,1,1,1,1
(亜種)ヒシクイ 【1】,,,,,,,,,,,71,32,58,,,56,39,32,17,,,,,,,,
マガン 【1】,,,1,31,176,194,,86,1370,1070,373,1793,,49,1443,1031,1,,,,,,,,,,
カリガネ 【3】,,,,,2,2,,1,1,2,,8,,,1,2,,7,,,,,,,,,
(亜種)シジュウカラガン 【1】,,,,,,,,,,,,1,,,,,,,,,,,,,,,
コハクチョウ 【1】,,,,,60,,,19,363,303,,50,505,1000,408,,,,,,,,,,,,
オオハクチョウ 【1】,,,,,,,,,7,,,,,,,,,,,,,,,,,,
オシドリ 【1】,,2,1,5,,,,,,,,,,,,,,,,,,,,,,,
オカヨシガモ 【3】,,,,1,2,,6,5,2,,,,,,1,,,,,,,,,,,,
ヨシガモ 【3】,,,,16,9,3,,11,,,,2,,,,,,,1,,,,,,,,
ヒドリガモ 【1】,,1,10,84,31,2,12,19,18,1,,13,2,,4,,5,16,,,,,1,,,,
マガモ 【2】,,10,11,39,47,73,1381,1728,1420,1347,945,4247,3276,1805,1590,862,1763,1236,2169,1734,1734,27,4,2,,2,2
カルガモ 【3】,,50,53,20,,1,43,60,2,5,7,15,10,4,10,2,5,8,3,30,30,4,6,2,3,3,2
ハシビロガモ 【3】,,,13,6,2,,19,27,46,32,40,73,89,50,31,98,114,103,68,98,98,23,31,42,17,3,
オナガガモ 【2】,,,4,124,70,50,150,162,5,20,38,630,202,75,41,61,,2,2,,,,,,,,
シマアジ 【3】,,,,,,,,,,,,,,,,,,,,,,,,2,,,
トモエガモ 【2】,,,,,7,12,165,1534,1708,1938,3416,5670,7653,7159,5300,234,62,202,209,311,311,,,,,,
コガモ 【3】,,19,22,1598,205,84,286,149,189,93,112,351,203,108,67,53,117,60,101,202,202,120,147,129,12,,
ホシハジロ 【2】,,,,,,4,,9,3,4,31,15,10,16,15,17,17,5,8,4,4,1,,,,,
キンクロハジロ 【1】,,,,5,1,,,6,2,6,,1,,1,2,2,1,2,2,2,2,1,1,4,2,,
ミコアイサ 【3】,,,,,,,,,3,8,2,7,,4,8,4,14,4,6,2,2,,,,,,
ウミアイサ 【3】,,,,,,,,,,,,,2,,,,,,,,,,,,,,
カイツブリ 【1】,,,,,,,,1,1,1,2,2,1,,,1,2,1,1,2,2,1,6,2,1,1,1
カンムリカイツブリ 【1】,,,,,,,,,,1,2,1,,1,1,2,2,2,2,1,1,,,,,,
ハジロカイツブリ,,,,,,,,1,,1,,,1,1,,,,,,1,1,,,,,,
カワウ 【3】,,8,3,2,11,8,21,16,8,6,17,5,11,12,,4,5,3,9,11,11,4,5,,4,,2
アオサギ 【3】,,4,1,2,2,,,1,,1,1,1,,1,1,1,1,1,1,1,1,4,2,,2,3,3
ダイサギ,,2,7,,1,,18,,1,2,1,1,1,2,1,1,1,1,1,,,2,,1,,1,1
クイナ,,,,,,,,,,,,,,,,1,,,,,,,,,,,
ヒクイナ,,,,,,,,,,,,,,,,,,,,,,,1,,,,
バン,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
オオバン 【2】,,,,,7,19,59,24,6,8,,8,12,10,10,12,22,8,7,16,16,4,,10,,,
コチドリ,,1,,,,,,,,,,,,,,,,,,,,,,,,,
クサシギ,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,,,1,,,,1,1,,,,,,1,,,,,,1,1,,1,1,,,
トビ 【3】,,,,,2,,,1,,1,,,,,,,,1,,2,2,,1,,,,
チュウヒ,,,,,1,1,,,1,,1,,1,,,1,,1,,2,2,,,,,,
ハイイロチュウヒ 【3】,,,,,,,,,,,1,,,,,,,,,,,,,,,,
ハイタカ,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
オオタカ 【1】,,,,1,1,1,,2,1,,,,,,,,,1,,,,,,,,,
ノスリ 【2】,,,,,,1,,3,,,1,,,,,,,,1,,,,,,,,
クマタカ 【2】,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
ハヤブサ 【1】,,,,,,,1,,,,,,,,,,,,,,,,,,,,
