調査年月日,2023/9/9,2023/9/20,2023/9/29,2023/10/9,2023/10/18,2023/10/28,2023/11/9,2023/11/14,2023/11/29,2023/12/8,2023/12/15,2023/12/26,2024/1/9,2024/1/19,2024/1/30,2024/2/9,2024/2/17,2024/2/27,2024/3/5,2024/3/18,2024/3/30,2024/4/5,2024/4/12,2024/4/30
オオハクチョウ 【1】,,,,,,,,5,4,4,,7,,4,,12,16,,4,,,,,
オシドリ 【1】,,4,8,4,7,,,,,,,,,,,2,,,,,,3,2,10
ヒドリガモ 【1】,,,,,,,,,,,,,,,,,,,2,,,,,1
マガモ 【2】,,,,,,,49,36,24,35,31,17,31,32,25,56,15,267,11,21,184,,,
カルガモ 【3】,4,11,3,8,,2,16,,2,,4,,2,,,4,,,,,,,6,5
コガモ 【3】,,,,,,,,,,,,,,,,,2,,,,,,,
ホシハジロ 【2】,,,,,,76,136,78,56,78,34,18,12,26,80,78,86,21,,24,38,3,,
キンクロハジロ 【1】,,,,,,,60,,,,5,12,,8,12,25,8,,3,1,,3,8,
ミコアイサ 【3】,,,,,,,,,,,,,,1,,1,,,,,,,,
カワアイサ 【3】,,,,,,,,,,2,,3,11,2,4,2,,3,4,5,5,,,
ウミアイサ 【3】,,,,,,,,,,,,,,,,,3,,,,,,,
カイツブリ 【1】,,,,,,,,,1,,,,,,,1,,,,,1,,3,
カンムリカイツブリ 【1】,9,18,5,13,4,35,,3,13,16,,,1,1,3,1,11,,,2,2,,2,12
ミミカイツブリ,,,,,,,,,,,,,,,,,,,1,,,1,,
ハジロカイツブリ,,,,,,12,54,2,,3,,3,,2,2,1,20,,2,1,,2,1,
カワウ 【3】,2,3,,3,1,1,,,,,2,,,,,,1,,6,,,1,3,4
アオサギ 【3】,1,1,2,1,,,,,,,,,,,,,,,,,,,1,
ダイサギ,,1,,,,,,,,,,,,,,,,,,,,,,
オオバン 【2】,,,,,31,210,560,81,340,623,695,278,341,368,207,1024,510,235,560,142,621,242,112,3
ミサゴ 【3】,,2,,,,,,,,,,,,,,,,,,,,,,
トビ 【3】,5,,2,2,2,2,,3,2,,,,,,,,1,2,,,3,2,7,7
クマタカ 【2】,,,1,,,,,,,,,,,,,,,,,,,,,
カモ類,,,,,,,,,,,4,7,,2,,,9,,,,2,,,
