調査年月日,2023/9/4,2023/9/14,2023/9/26,2023/10/15,2023/10/25,2023/11/5,2023/11/15,2023/11/26,2023/12/3,2023/12/16,2023/12/24,2024/1/7,2024/1/16,2024/1/28,2024/2/4,2024/2/17,2024/2/25,2024/3/7,2024/3/17,2024/3/27,2024/4/6,2024/4/14,2024/4/24,2024/5/4,2024/5/12,2024/5/22
(亜種)ヒシクイ 【1】,8,,1,34,,,,,,,,,,,,,,,,,,,,,,
オオハクチョウ 【1】,,,,20,24,38,20,27,24,21,84,19,38,27,,117,8,44,18,9,30,38,95,,,
ツクシガモ,,,,,,,,1,1,,1,,,,,,,,,,,,,,,
ヒドリガモ 【1】,,,,,,,16,,,,,,,,,,,,,200,3,16,40,40,3,
マガモ 【2】,,33,196,20,80,40,26,20,36,27,25,51,8,35,,16,6,8,35,50,310,11,15,,21,4
オナガガモ 【2】,,74,257,21,,,,,,,,,,,,,,,17,200,2,1,75,2,1,
スズガモ 【2】,,,,,,,,,,,,,,,,,,,,,,,,10,,
シノリガモ 【3】,,,,,,,,,,,2,,,,,,,,,,,,,,,
ホオジロガモ 【3】,,,,,,,,,,,,,17,,,,,,,,,,,,,
ミコアイサ 【3】,,,,,,,,,,,,,,1,,,,3,,,,,,,,
カワアイサ 【3】,21,3,8,,47,12,6,2,,1,33,17,27,14,6,3,3,68,,120,230,9,,,,
ウミアイサ 【3】,,,,,,,,,,,,,,,,,,,,,,,,10,,
カワウ 【3】,128,175,146,73,165,22,3,,,,,,,,,,,,,64,6,30,21,2,,
アオサギ 【3】,46,18,18,8,13,,1,,,,,,,,,,,,11,38,56,72,41,27,15,16
ダイサギ,13,6,18,,,,,,,,,,,,,,,,,,,,,,,
タンチョウ 【3】,,2,1,,2,,,,2,2,,,,,,,,,2,2,3,,,4,3,4
ミヤコドリ,,,,1,,,,,,,,,,,,,,,,,,,,,,
オオジシギ,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
オグロシギ,,14,,,,,,,,,,,,,,,,,,,,,,,,
アオアシシギ,,3,,,,,,,,,,,,,,,,,,,,,,,,
キアシシギ,,6,2,,,,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,46,,,,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,30,,,3,,,,,,,,,,,,,,12,11,,20,
オオセグロカモメ 【3】,,,1,,,,,2,,,,,,,,1,2,,1,4,2,2,2,2,1,2
トビ 【3】,,,1,1,,1,2,1,,,,,1,,,,,,,,1,2,,2,,1
オジロワシ 【2】,,,,1,,1,,1,,,,3,,,,,1,2,2,4,,3,2,2,2,1
オオワシ 【2】,,,,,,,,1,,,1,2,1,2,1,,,,,,,,,,,
シギ科,1,,,,,,,,,8,,,,,,,,,,,,,,,,
カモメ科 【3】,2,1,,59,106,1400,310,3,5,,,,,1,,,,,120,,1000,,,3,,
カモ類,3,130,252,200,380,400,130,9,22,55,91,2,,4,,22,32,3,480,2300,1200,32,3000,180,100,
シギチドリ類,,,,,,,3,,,,,,,,,,,,,,,,,,,
