調査年月日,2023/9/7,2023/9/15,2023/9/25,2023/10/2,2023/10/12,2023/10/31,2023/11/2,2023/11/13,2023/11/27,2023/12/4,2023/12/14,2023/12/25,2024/1/8,2024/1/15,2024/1/29,2024/2/2,2024/3/7,2024/3/14,2024/3/28,2024/4/9,2024/4/16,2024/4/29,2024/5/3,2024/5/17,2024/5/30
ヒシクイ 【1】,10,,37,274,19,146,,,,,,,,,,,,2,,,,,,,
(亜種)オオヒシクイ 【1】,,,,,309,,,,,,2,,,,,,,,,,,,,,
(亜種)ヒシクイ 【1】,,,,,42,,2,,,,,,,,,,,,,,,,,,
マガン 【1】,,,,49,11453,484,47,,,,,,,,,,,,,,,,,,
ハクガン 【3】,,,,,3,,,,,,,,,,,,,,,,,,,,
コブハクチョウ 【1】,2,4,,2,4,4,4,2,2,2,2,2,2,2,,2,2,,,,,,,,
コハクチョウ 【1】,,1,,,112,,,2,,,,,,,,,,,,,,,,,
オオハクチョウ 【1】,1,1,,,,38,5,10,32,31,16,13,7,,160,11,49,28,,,,6,,,
オカヨシガモ 【3】,,,,,2,,,,,19,,,12,,,,,,10,,,,,,
ヨシガモ 【3】,,,8,57,14,,,,,18,,15,37,,,,5,19,70,2,,,,,
ヒドリガモ 【1】,,,15,119,141,,1,3,3,,,,,,,,,64,10,,,,,,
マガモ 【2】,,,7,6,61,10,,34,32,39,,1,51,,28,,,28,,4,13,,,,2
カルガモ 【3】,,,,,2,,,,,,,,,,,,,,,,,,,,
ハシビロガモ 【3】,,,,3,2,,,,,,,,,,,,,,,,,,,,
オナガガモ 【2】,,,,34,9,1,,,,,,,,,,,,,,,,,,,
シマアジ 【3】,,,1,,,,,,,,,,,,,,,,,,,,,,
トモエガモ 【2】,,,,2,,,,,,,,,,,,,,,,,,,,,
コガモ 【3】,,,3,60,24,,,,,,,5,3,,,,,5,3,,,,,,
ホシハジロ 【2】,,,13,13,15,,,,,,,,,,,,,,,,,,,,
キンクロハジロ 【1】,,,,37,23,,,,,,,,,,,,,,,,,,,,
スズガモ 【2】,,,3,4,25,,,,,,,,,,,,,,,,,,,,
ホオジロガモ 【3】,,,,,,,,1,1,,,,,,,,,,,,,,,,
カワアイサ 【3】,,,,,,,,,4,,,,,,2,,1,,1,,,2,,,
カイツブリ 【1】,26,27,6,6,2,,2,,4,,,,,1,,,,,,,,2,,,
カンムリカイツブリ 【1】,3,5,8,5,,1,,,,,,,,,,,,,,,,,,,
ハジロカイツブリ,,,,,2,,,,,,,,,,,,,,,,,,,,
カワウ 【3】,1,,,,,,,2,,,,,,,,,,,1,,,,,,
アオサギ 【3】,,1,2,2,7,1,,,,,,,,,,,,,6,1,3,,,1,
ダイサギ,2,2,3,5,13,7,4,3,3,,1,,,,,,,1,3,,,,,,
タンチョウ 【3】,,,,,,,,,,,,,,,,,,2,,,,,,,
オオバン 【2】,,,,,,5,,,,,,,,,,,,,,,,,,,
シロカモメ 【3】,,,,,,1,,,,,,,,,,,,,,,,,,,
オオセグロカモメ 【3】,,,,,,,,,,,,,,,,,2,,1,,,,,,
ミサゴ 【3】,,,,,,,1,,,,,,,,,,,,,,1,,,1,
トビ 【3】,,,,,,,2,1,,1,,1,1,2,,15,5,,1,2,1,2,2,1,2
オジロワシ 【2】,2,,1,2,1,2,3,1,6,2,2,,1,,6,,,4,3,2,2,3,,,2
オオワシ 【2】,,,,,,,,2,,,3,2,,2,,2,,3,,,,,,,
ハイタカ,,,,,,1,,1,,,,,,,,,,,,,,,,,
ノスリ 【2】,,,,,,,1,,,,,1,,,,,,,,,,,,,
ハヤブサ 【1】,,1,,,,,,,,,,,,,,,,,,,,,,,
ウ科,,,,,,,1,,,,,,,,,,,,,,1,,,,
カモメ科 【3】,,,1,,,,,,,,,,,,,,,,,160,1,,,,
カモ類,,,,,,112,200,30,,15,,,,,31,,,,1000,14,30,10,,,
ハクチョウ類 【1】,,,,,10,,,,,,,,,3,,,,,,,,,,,
