調査年月日,2023/9/1,2023/9/15,2023/9/29,2023/10/6,2023/10/13,2023/10/27,2023/11/3,2023/11/17,2023/11/24,2023/12/8,2023/12/15,2023/12/25,2024/1/5,2024/1/14,2024/1/26,2024/2/9,2024/2/16,2024/2/23,2024/3/8,2024/3/15,2024/3/22,2024/4/5,2024/4/19,2024/4/26,2024/5/3,2024/5/10,2024/5/31
(亜種)オオヒシクイ 【1】,,,,,,,,,,,,132,,,,,,,,,,,,,,,
マガン 【1】,,,,,1,3,6,21,,3,,57,,,,20,,,,,,,,,,,
(亜種)シジュウカラガン 【1】,,,,,,,,,,,,4,,,,,,,,,,,,,,,
コハクチョウ 【1】,,,,,105,4643,5545,7483,8506,6408,7933,3678,7546,5083,4176,2760,1036,104,160,79,,,,1,,,
(亜種)アメリカコハクチョウ 【1】,,,,,,,,2,1,2,3,2,2,2,,,,1,,,,,,,,,
オオハクチョウ 【1】,,,,,,10,10,51,66,40,77,42,89,128,69,4,3,1,,,,,,,,,
オシドリ 【1】,,,,5,,,,,1,,,,,,,,,,,,,,,,,,
オカヨシガモ 【3】,,,,,,,,,1,,,,,,,,,,,,,12,1,,,,
ヨシガモ 【3】,,,,,,1,,,3,,,,,4,2,,,,,,,1,,,,,
ヒドリガモ 【1】,,,3,10,12,12,15,53,106,2,17,22,16,34,5,3,15,8,32,,7,12,,,,,
マガモ 【2】,,,10,5,94,779,5447,8529,12638,7363,5260,3280,8350,4602,8656,3390,4889,4073,3170,2491,1819,821,15,2,,,
カルガモ 【3】,70,61,37,5,35,20,206,21,32,6,22,11,17,45,6,,2,21,,,,12,6,8,8,5,
ハシビロガモ 【3】,,,4,,2,20,5,13,20,6,37,2,,20,,,51,40,9,22,16,17,7,7,1,4,
オナガガモ 【2】,,5,10,19,24,25,36,712,328,67,98,61,145,212,15,,15,6,2,,,,,,5,,
トモエガモ 【2】,,,,,,4,46,178,462,4,8,62,107,52,,,,,,,,,,,,,
コガモ 【3】,59,597,4901,2270,350,1571,920,1350,1193,574,493,9,188,965,206,208,65,590,100,,56,163,22,13,5,,
ホシハジロ 【2】,2,,5,,2,80,7,5,5,,42,21,37,49,10,36,18,21,,,51,15,,,1,,
キンクロハジロ 【1】,,,,,,90,,,1,,,,,,,,,,,,,,,,,,
スズガモ 【2】,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,
ミコアイサ 【3】,,,,,,,,,4,10,,2,4,6,,4,2,8,,,9,9,,,,,
カワアイサ 【3】,,,,,,,,,,2,,,,,,,,,,,,,,,,,
カイツブリ 【1】,1,,,,,1,3,,,,2,,,2,1,,,1,,,11,3,,,,,
カンムリカイツブリ 【1】,2,1,,,2,,5,8,11,,2,,1,2,1,5,3,5,3,1,7,7,2,7,7,5,
ハジロカイツブリ,,,,,,8,,2,1,,,,,,,,2,,,,,,,,,,
カワウ 【3】,5,2,1,4,15,5,5,20,12,10,13,2,6,9,5,8,4,10,5,2,2,6,2,2,2,4,8
アオサギ 【3】,41,69,59,16,6,6,5,,1,1,2,1,1,,,4,,,3,1,2,1,12,6,4,6,12
ダイサギ,36,43,19,8,4,17,10,,1,1,1,1,1,,,3,,5,2,1,5,1,5,3,1,,3
チュウサギ,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
コサギ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
オオバン 【2】,,,,,,31,6,30,5,5,2,1,3,2,,2,2,4,,,2,7,1,2,1,,
セイタカシギ,,,2,,,,,,,,,,,,,,,,,,,,,,,,
アオアシシギ,,,4,,,,,,,,,,,,,,,,,,,,,,,,
イソシギ,,,4,,,,,,,,,,,,,,,,,,,,,,,,
トウネン,,,24,,,,,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,3,,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,,,,,1,,,,,,,,,,,,,,,,,,,,,2,
