調査年月日,2023/9/5,2023/9/16,2023/9/30,2023/10/3,2023/10/15,2023/10/23,2023/11/1,2023/11/15,2023/11/30,2023/12/5,2023/12/16,2023/12/25,2024/1/9,2024/1/14,2024/1/28,2024/2/1,2024/2/16,2024/2/27,2024/3/5,2024/3/15,2024/3/24,2024/4/3,2024/4/12,2024/4/27
(亜種)オオヒシクイ 【1】,,,,,,,,,,,,,,,,,,105,,,,,,1
(亜種)ヒシクイ 【1】,,,,,,,,380,85,269,2567,,,35,418,205,26,,8,,,,,
マガン 【1】,,,,,,,7,7200,550,589,5079,,201,307,32,220,456,18,,,,,,
ハクガン 【3】,,,,,,,,200,76,,1300,,,,,,,,,,,,,
(亜種)シジュウカラガン 【1】,,,,,,,,,55,,3,,,,,,,,,,,,,
コハクチョウ 【1】,,,,,,124,3,370,176,,149,35,5,,169,,185,2,,,,,,
(亜種)アメリカコハクチョウ 【1】,,,,,,,,,2,,,,,,,,,,,,,,,
オオハクチョウ 【1】,,,,,7,62,20,235,125,19,81,60,20,9,16,,20,9,4,,,,,
オカヨシガモ 【3】,,,,,,,,,,,,,,,,,,,,2,4,,1,
ヒドリガモ 【1】,,,,,,,,2,,,,,,,,,,,,34,64,,20,2
マガモ 【2】,,,1,8,29,275,88,776,246,2,167,86,108,171,18,60,398,219,130,102,2,2,4,2
カルガモ 【3】,18,147,255,12,127,233,,207,457,365,288,761,143,376,611,253,274,228,250,123,133,42,35,52
ハシビロガモ 【3】,,,,,,,,,,7,,,,,,,,,1,4,,,2,12
オナガガモ 【2】,,,21,,38,,,414,4,8,3,1,,2,,,34,,,,4,2,,
コガモ 【3】,,2,825,77,8,123,150,44,313,50,92,112,93,43,88,90,226,65,50,154,272,9,14,52
ホシハジロ 【2】,,,,,,1,,,,,,,,,,,,,,,,,,
キンクロハジロ 【1】,,,,,,,,,,,,2,,,,,,,,,,,,
ホオジロガモ 【3】,,,,,,,,3,1,,8,,,2,1,,,,,4,2,,,
ミコアイサ 【3】,,,,,,,,7,5,7,12,,,16,2,,15,3,12,17,5,,,
ウミアイサ 【3】,,,,,,,,23,,,,,,,,,,,,,,,,
カイツブリ 【1】,,,1,7,5,3,,3,1,2,2,,1,,,,,1,2,,1,,,
アカエリカイツブリ,,,,,,,,,1,,,,,,,,,,,,,,,
カンムリカイツブリ 【1】,2,15,23,4,23,15,6,24,12,,4,,1,,,,1,2,,4,8,9,15,26
ハジロカイツブリ,,,1,,,5,,5,,,,,,,,,,,,,,,,
カワウ 【3】,,,,,33,42,4,7,7,6,3,1,2,1,,,55,1,2,8,,3,,
ゴイサギ,10,,,,,,,,,,,,,,,,,,,,,,,38
アオサギ 【3】,21,2,4,2,3,4,,2,4,,,4,,4,,,5,1,,55,157,121,197,114
ダイサギ,20,6,2,4,5,9,,1,1,,1,,1,2,1,,6,8,5,5,11,7,54,75
チュウサギ,30,2,,,,,,,,,,,,,,,,,,,,,,3
コサギ,,,,,1,,,,,,,,,,,,,,,,,,,37
バン,,,,,1,,,,,,,,,,,,,,,,,,,2
オオバン 【2】,,1,,4,2,3,,1,13,,4,6,,1,1,,2,5,,8,3,7,3,7
ウミネコ 【3】,,,,,,,,,,,,,,,,,,,,,,,,1
ミサゴ 【3】,1,,1,,,1,,,,,,,,,,,,,,1,1,,1,1
トビ 【3】,3,3,6,3,1,4,2,3,7,2,5,5,9,4,1,4,3,5,7,7,7,4,4,4
オジロワシ 【2】,,,,,,,,,,,1,1,1,,,1,2,1,1,,,,,
チュウヒ,1,,,,1,2,1,3,5,,1,,,,,,,,,1,1,2,1,1
オオタカ 【1】,,1,,,,,,,,,,,,,,,,,,,,,,
ノスリ 【2】,2,,,3,1,3,,1,1,,1,2,7,1,,2,,1,1,,2,,,
サギ科,,21,,,,,,,,,,,,,,,,,,,,,,
カモ類,,54,,,,,,,,,,,,,,,,,,,,,,
ハクチョウ類 【1】,,,,,,,,100,,,210,,,97,,,,,,,,,,
