調査年月日,2023/9/8,2023/9/15,2023/9/26,2023/10/5,2023/10/17,2023/10/26,2023/11/7,2023/11/14,2023/11/27,2023/12/6,2023/12/6,2023/12/26,2024/1/9,2024/1/17,2024/1/29,2024/2/9,2024/2/16,2024/2/27,2024/3/4,2024/3/15,2024/3/22,2024/4/4,2024/4/18,2024/4/22,2024/5/7,2024/5/14,2024/5/21
コブハクチョウ 【1】,,,2,,4,3,3,2,2,,,,,,2,,2,,5,,2,,,,,2,
オカヨシガモ 【3】,,,,,,,,,,15,,20,,5,,5,,5,,,,5,,,,,
ヨシガモ 【3】,,,,,,,,,,,,,,,,3,,,,,,,,,,,
ヒドリガモ 【1】,15,,,11,62,30,,25,21,,,,4,,,,,,4,,5,,,,,,
マガモ 【2】,,,,3,,2,17,17,42,10,25,30,15,30,14,15,18,15,3,5,2,,,,,,
カルガモ 【3】,7,16,2,1,2,17,13,15,38,23,21,10,6,20,6,10,11,23,23,23,14,7,15,10,8,2,3
ハシビロガモ 【3】,,,,,1,,,,11,,54,2,,2,,2,3,,,,,,,,,,
オナガガモ 【2】,,,,,13,17,,,24,5,,5,,2,3,5,,,2,,1,,,3,1,,
ホシハジロ 【2】,,,,,24,4,1,18,2,30,30,10,25,5,,3,,,,,,1,,,,1,
キンクロハジロ 【1】,,22,5,33,204,687,104,1798,1453,500,578,200,340,500,350,450,353,350,248,230,150,350,150,200,230,80,13
スズガモ 【2】,,,60,7,254,540,22,2380,1002,850,673,450,560,700,400,100,268,60,130,100,112,125,78,45,50,20,6
ホオジロガモ 【3】,,,,,,,,3,14,,55,10,,2,6,3,5,3,10,,4,1,,,,,
ミコアイサ 【3】,,,,,,,,,,,,,,,,1,,,,,,,,,,,
カワアイサ 【3】,,,,,,,,,,2,3,,2,,,,,,,,,,,,,,
カイツブリ 【1】,,,2,,3,,,6,,,,,,,,,10,,2,,2,,,,,1,
カンムリカイツブリ 【1】,,,,,1,17,3,35,118,20,,2,,100,,,,,,,,3,,,,,
ハジロカイツブリ,,2,,,11,3,,15,18,5,18,10,,5,120,50,25,,6,,4,,,,,,
カワウ 【3】,10,18,24,16,24,35,29,23,38,50,87,15,15,15,20,3,6,2,6,,12,4,2,4,7,13,8
アオサギ 【3】,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,
ダイサギ,,,,,,,,,,,,,,,,,,,,,,1,,,,,
チュウサギ,,,3,,,,,,,,,,,,,1,,,,,,,,,,,
コサギ,,3,,,,1,,,,,,,,,,,,,,,,,,,,,
オオバン 【2】,,,,,378,371,36,580,325,350,105,50,58,70,64,150,25,80,25,30,30,28,36,35,24,3,5
イソシギ,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,,2,,,,,,,1,,,,,,,,,,,
ウミネコ 【3】,28,33,16,2,24,32,31,24,4,2,2,,,,,,,,,,,,,,,,
セグロカモメ 【3】,,,,,,,,,,2,2,,,3,,1,,,1,,,,,,,,
ミサゴ 【3】,,2,,,3,1,,1,,,,,,,,,,,,,1,,,,,,
サギ科,1,1,1,,1,,,,,2,,,,,,,,,,,,,,,,,
カモメ科 【3】,,,,,,,,1,110,5,,1,100,10,10,,7,1,15,8,30,1,,1,,,
カモ類,,,,119,503,11582,910,5615,20725,13000,16800,5000,12000,10000,16000,6700,7000,2000,2500,300,500,500,300,300,150,20,10
