調査年月日,2023/9/3,2023/9/16,2023/9/23,2023/10/5,2023/10/15,2023/10/29,2023/11/3,2023/11/12,2023/11/26,2023/12/3,2023/12/17,2023/12/24,2024/1/7,2024/1/18,2024/1/28,2024/2/4,2024/2/12,2024/2/25,2024/3/3,2024/3/17,2024/3/24,2024/4/14,2024/4/23,2024/5/18,2024/5/31
コブハクチョウ 【1】,,,,,,,,,,,,46,9,22,31,,,,,,,,,,
オオハクチョウ 【1】,,,,,8,122,38,53,22,114,49,,,,,14,2,16,69,69,6,,23,,
オシドリ 【1】,,,,,,,,,,,,,,,,,,,,,,2,,,
ヨシガモ 【3】,,,,12,,19,,8,,,,,,,,,,,,,,,,,
ヒドリガモ 【1】,,,,,,18,44,129,34,15,19,,,,,,,,,,18,76,273,,
マガモ 【2】,8,8,,8,,43,11,23,14,22,18,,,,13,,,,,,,25,35,3,8
カルガモ 【3】,,,,7,,,,6,,,,,,,,,,,,,3,,,,
ハシビロガモ 【3】,,,,,6,17,2,,,8,,,,,,,,,,,,,,,
オナガガモ 【2】,,,120,47,122,300,169,126,19,134,27,,,,,,,,,,,553,183,,
コガモ 【3】,,,92,55,100,293,196,175,33,151,34,,,,9,18,,,,,,343,249,,
ホシハジロ 【2】,,,,,,,,,,13,8,,,,,,,,,,,,,,
キンクロハジロ 【1】,,,,,,,,62,22,177,71,,,,24,,3,22,,21,50,568,225,23,
スズガモ 【2】,,,,,,79,,70,,16,,,,,,,,,,6,,,,,
ホオジロガモ 【3】,,,,,,,,,,,1,,,,,,,,,,,,,,
カワアイサ 【3】,,,,,,,,,,,12,,,,,,,,,,,,,,
ウミアイサ 【3】,,,,,,,,25,6,37,16,,3,11,,,,8,14,,,,,,
カイツブリ 【1】,,,,,,,,,,,,,,,,,,,,,,,3,,
アオサギ 【3】,160,133,264,52,32,18,,,,,,,,,,,,,,,,,,,
コサギ,,,,,,,,,,,,,,,,,,,,,,1,,,
タンチョウ 【3】,4,2,2,2,,5,5,5,2,,2,,,,,,,,,,6,8,4,4,3
タシギ,,8,26,21,,,,,,,,,,,,,,,,,,,,,
コアオアシシギ,,,,,,,,200,,,,,,,,,,,,,,,,,
コアジサシ,,,,,,150,,,,,,,,,,,,,,,,,,,
オジロワシ 【2】,2,2,2,,,2,,,,4,3,4,6,4,11,7,14,13,7,5,,,,,
オオワシ 【2】,,,,,,,,,6,4,,3,4,2,3,2,3,10,14,3,,,,,
ノスリ 【2】,,,,,,,,,,,,2,,,,,,,,,,,,,
