調査年月日,2023/9/5,2023/9/14,2023/9/27,2023/10/1,2023/10/14,2023/10/25,2023/11/1,2023/11/14,2023/11/29,2023/12/4,2023/12/17,2023/12/26,2024/1/3,2024/1/17,2024/1/30,2024/2/6,2024/2/14,2024/2/27,2024/3/5,2024/3/19,2024/3/25,2024/4/4,2024/4/16,2024/4/25,2024/5/1,2024/5/16,2024/5/27
オカヨシガモ 【3】,,,,,,,,13,27,29,6,57,46,40,49,45,45,53,50,15,10,2,,,,,
ヒドリガモ 【1】,,,,5,6,10,65,53,79,82,27,163,99,142,168,123,164,220,48,193,160,63,60,22,,,
マガモ 【2】,,,,,,,,,,,,2,3,3,3,2,2,3,1,1,,2,2,,,,
カルガモ 【3】,9,9,1,2,2,25,18,15,9,7,22,14,29,10,27,20,10,11,6,18,11,6,7,5,4,3,3
ハシビロガモ 【3】,,,,,2,,4,57,90,128,25,151,124,85,107,103,121,86,12,68,32,1,2,,,,
オナガガモ 【2】,,,,,,1,7,33,3,3,9,26,17,1,21,21,32,22,15,17,9,5,,,,,
コガモ 【3】,,5,12,5,74,159,148,148,235,140,25,362,95,201,170,359,199,140,102,102,102,12,5,7,,,2
ホシハジロ 【2】,8,10,11,11,6,39,240,538,640,922,830,1106,950,1798,1169,1608,1203,936,895,116,450,183,32,8,2,6,6
キンクロハジロ 【1】,2,2,2,3,1,2,4,8,7,,7,18,11,5,7,31,1,7,4,9,7,19,10,6,6,3,3
スズガモ 【2】,,,,,,4,5,57,56,88,119,237,308,321,179,157,148,170,115,112,44,72,,,,,
ホオジロガモ 【3】,,,,,,,,,,,5,3,7,8,8,5,7,9,6,,,,,,,,
ウミアイサ 【3】,,,,,,,,1,1,3,4,3,2,5,3,3,4,4,5,7,5,9,,,,,
カンムリカイツブリ 【1】,,,,,1,1,4,72,43,89,18,18,5,8,7,2,7,3,2,3,2,10,1,,,,
ハジロカイツブリ,,,,,,,,,2,5,4,2,5,4,7,6,10,14,7,2,,,,,,,
カワウ 【3】,27,74,41,148,36,71,74,25,25,25,46,24,532,45,26,36,23,26,28,17,20,15,20,51,21,19,54
アオサギ 【3】,24,17,23,19,9,13,7,7,8,8,4,7,6,6,5,5,3,4,4,4,6,5,4,8,4,,4
ダイサギ,15,16,22,29,9,,1,1,1,,,,,,,,,,,1,,,5,1,5,,2
コサギ,11,9,4,19,4,4,1,2,2,1,1,,,,1,,1,1,,2,3,4,3,2,1,1,3
オオバン 【2】,,,,,,,3,7,7,4,10,11,22,17,28,41,45,64,42,70,37,52,2,1,,,
コチドリ,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,2,3
シロチドリ,,,2,,,,,,,,,,,,,,,,,,,,,,,,1
チュウシャクシギ,,,,,,,,,,,,,,,,,,,,,,,,4,,,1
キアシシギ,,1,1,1,,,,,,,,,,,,,,,,,,,,,2,3,4
イソシギ,2,7,5,4,2,3,3,5,2,3,3,1,4,3,2,4,2,3,2,4,5,2,2,2,5,4,2
キョウジョシギ,,,,,,,,,,,,,,,,,,,,,,,,,,19,3
ミユビシギ,,,,,,,,,,,,,,,,,,,,,,,,,,1,
トウネン,,,1,,2,,,,,,,,,,,,,,,,,,,,,1,
ハマシギ,,,,,,,,,,,,,,,,,,,,,,,,7,,,
ユリカモメ 【1】,,,1,28,,63,31,89,24,23,37,27,52,4,25,30,49,44,242,74,46,10,,,1,,
ウミネコ 【3】,76,153,140,460,12,19,2,6,1,,9,,1,,2,,,,,,,,,,,5,
カモメ 【3】,,,,,,,,,,,,,,,4,5,,,10,,1,,,,,,
セグロカモメ 【3】,,,4,9,63,30,10,33,9,3,11,1,5,1,3,3,4,1,11,4,2,2,1,,,,
コアジサシ,,,,,,,,,,,,,,,,,,,,,,,,1,77,8,5
ミサゴ 【3】,4,2,2,3,3,2,1,4,4,3,7,3,3,4,2,5,4,2,1,3,1,1,2,2,4,2,1
トビ 【3】,1,,1,,2,1,,,2,1,,2,3,1,1,2,1,1,,1,,2,,2,,,
オオタカ 【1】,,,,,,,,,,,,,1,,,,,,,,,,,,,,
チョウゲンボウ 【3】,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,
ハヤブサ 【1】,,,,,,,,,,,,,,,,1,,,,,,,,,,,
ヒバリ,,,,,,,,,,,,,,,,,,,,,,,,1,,,
タヒバリ,,,,,,,,,,,2,,,,,,,,2,1,,2,,,,,
カモメ科 【3】,,,,,,,,,,,,,,,,,,,,,,,,1,,,
