調査年月日,2023/9/5,2023/9/13,2023/9/23,2023/10/4,2023/10/11,2023/10/21,2023/11/1,2023/11/13,2023/11/29,2023/12/1,2023/12/12,2023/12/24,2024/1/5,2024/1/11,2024/1/26,2024/2/1,2024/2/13,2024/2/25,2024/3/7,2024/3/12,2024/3/23,2024/4/4,2024/4/11,2024/4/28
ダイサギ,186,250,356,218,190,106,45,46,27,10,27,12,13,32,18,14,12,8,17,12,4,4,16,17
チュウサギ,46,11,42,14,20,19,,,,,,,,,,,,,,,1,,,5
コサギ,4,11,17,5,5,8,2,,3,3,8,2,1,3,3,,1,3,2,4,2,,7,6
ヘラサギ,,,,,,,2,,,,2,,,,,,,,,,,,,
クイナ,,,,,,,,,,,,,,,,,,2,,,,,,
バン,2,,,,3,3,,1,,,1,,,2,,,,1,,,,,1,
オオバン 【2】,3,1,3,21,35,24,58,128,92,199,68,105,53,3,3,41,22,18,32,24,2,3,20,1
タゲリ,,,,,,,,1,4,6,,,18,,,,,,,13,,,,
ケリ,,,3,,,,,,,,,,,,,,,,2,7,4,,8,8
ムナグロ,,,2,,6,1,,,,,,,,,,,,,,,,,,
コチドリ,,1,,,,,,,,,,,,,,,,,,,,,2,2
セイタカシギ,,,2,1,,,,,,,,,,,,,,,,,,,,
オオジシギ,,,,,,,,,,,,,,,,,,,,,,,4,
タシギ,1,13,29,1,1,2,,3,2,,,1,,,,,1,2,,5,2,,16,
オグロシギ,,,,,1,1,,,,,,,,,,,,,,,,,,
ツルシギ,,1,,,6,3,,,,,,,,,,,,,,,,,1,
コアオアシシギ,,8,4,4,,1,,,,,,,,,,,,,,,,,,
アオアシシギ,2,1,6,14,1,5,,1,,,,,,,,,,,,,,,,
クサシギ,,2,1,,,,,,,,4,1,,,,,1,1,,1,,,,
タカブシギ,,9,6,6,1,2,,,,,,,,,,,,,,,,,,
イソシギ,,,,,,,,,,,,,,,,,,,,,,,1,
トウネン,,11,20,,8,,,,,,,,,,,,,,,,,,,
ヒバリシギ,,,,,2,,,,,,,,,,,,,,,,,,,
アメリカウズラシギ,,1,,,1,,,,,,,,,,,,,,,,,,,
ウズラシギ,,2,2,,4,5,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,9,29,,,,,,,,,,,,,,,,,,
エリマキシギ,,1,1,1,3,3,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,3,,,,3,,1,,,3,,3,3,,,,
カモメ 【3】,,,,,,,,,,,,,,,,,1,,1,,,,,
ミサゴ 【3】,,1,1,,,,,,,,,,,,,,,,,4,1,1,2,2
トビ 【3】,8,3,5,3,10,8,3,21,16,14,19,15,9,17,12,3,19,6,13,15,7,7,10,10
オジロワシ 【2】,,,,,,,,,,,1,1,,1,1,,,1,,2,1,,,
チュウヒ,,,,,,,,,,,,1,,2,2,2,1,2,,3,1,,1,
ハイイロチュウヒ 【3】,,,,,,,,,,,,,,,,,,,,1,,,,
ハイタカ,,,,,,,,,,,1,,,,,,,,1,,,,1,
オオタカ 【1】,,,1,,,1,,,2,1,1,1,,,,,,,,,,,,
ノスリ 【2】,,2,1,1,3,3,2,2,1,3,3,2,2,7,3,2,8,3,2,4,4,,1,3
フクロウ 【2】,,,,,,,,,,,,,,1,,,,,,,,,,
チョウゲンボウ 【3】,,,,,,,,,,,,,,,,,,,,1,,,,
コチョウゲンボウ 【3】,,,,,,,,,,,,,,,,,,,,,1,,,
ハヤブサ 【1】,,,1,,1,1,,,,,1,1,,,,,,1,,1,,,,
