調査年月日,2023/9/5,2023/9/13,2023/9/23,2023/10/4,2023/10/11,2023/10/21,2023/11/1,2023/11/13,2023/11/29,2023/12/1,2023/12/12,2023/12/24,2024/1/5,2024/1/11,2024/1/26,2024/2/1,2024/2/13,2024/2/25,2024/3/7,2024/3/12,2024/3/23,2024/4/4,2024/4/11,2024/4/28
(亜種)オオヒシクイ 【1】,,,,1,15,51,65,317,425,662,671,888,718,391,780,420,338,,26,2,,1,,
(亜種)ヒシクイ 【1】,,,,,1,7,4,21,7,17,4,4,24,18,10,,46,,,,1,,,
マガン 【1】,8,9,128,20960,35480,65800,105500,26353,45600,24178,10343,48500,1558,9964,47600,5433,688,303,806,281,236,,5,1
ハクガン 【3】,,,,,,,,,,1,,,,,,,,,,,,,,
(亜種)シジュウカラガン 【1】,,,1,79,31,35,,1,1,1,,,,,,,,,,,,,,
コハクチョウ 【1】,,,,,4,7,4,3,6,,2,2,2,2,4,,31,,,,,,,
(亜種)アメリカコハクチョウ 【1】,,,,,,,,1,,,,,,,2,,,,,,,,,
オオハクチョウ 【1】,,,,,,145,339,1724,2745,3205,2248,2001,2369,1017,808,707,1245,25,13,18,,2,1,1
オカヨシガモ 【3】,,,1,,2,2,,7,2,2,2,8,2,,,,4,4,,2,6,20,9,2
ヨシガモ 【3】,,,,,42,,6,9,4,12,2,,,1,,,3,3,,24,8,3,11,14
ヒドリガモ 【1】,,,5,37,187,102,6,9,7,6,1,4,,1,,,4,4,,11,10,5,6,
マガモ 【2】,,1,42,88,35,72,32,398,201,617,831,601,697,1114,638,708,683,645,554,580,194,128,21,15
カルガモ 【3】,16,27,50,35,27,15,14,42,41,125,75,168,175,175,178,126,50,91,45,55,29,75,55,24
ハシビロガモ 【3】,,2,11,30,20,36,,14,9,8,19,,5,13,,,9,3,,24,20,34,17,9
オナガガモ 【2】,2,23,102,383,379,349,370,285,392,572,1070,829,880,532,470,2690,911,527,344,1470,186,16,27,
シマアジ 【3】,,,,,,,,,,,,,,,,,,,,,,,15,
トモエガモ 【2】,,,,,,,,1,3,12,,8,,,,,57,,,22,2,,,
コガモ 【3】,38,52,336,1013,235,255,127,70,76,141,88,61,13,25,25,27,21,37,117,96,43,88,123,12
(亜種)アメリカコガモ,,,,,,,,,,,,,,,,,,,,,,,1,
ホシハジロ 【2】,,2,3,3,1,7,4,11,4,48,,14,11,6,6,,,,,,,3,3,
キンクロハジロ 【1】,,,,2,,10,,31,8,6,1,1,2,4,1,,,,,10,,,,
スズガモ 【2】,,,,,,,,,,,,,,,,,1,,,,,,18,
ホオジロガモ 【3】,,,,,,,,,,,7,,,,,,,,,,,,,
ミコアイサ 【3】,,,,,,,,43,214,26,265,108,158,192,104,52,181,56,69,119,12,,1,
カワアイサ 【3】,,,,,,,,19,19,106,56,103,76,132,57,20,37,25,,2,,,,
カイツブリ 【1】,1,3,3,,3,23,2,14,6,4,7,,2,,2,1,1,3,,,2,,1,3
カンムリカイツブリ 【1】,,21,24,18,16,10,4,118,43,44,91,4,13,13,6,2,2,5,4,,6,17,14,16
ハジロカイツブリ,,,,,,4,,7,3,,,1,,1,,,,,,,1,,,
カワウ 【3】,3,4,15,8,26,12,29,156,49,80,40,72,123,46,28,23,23,20,36,23,5,3,3,
サンカノゴイ,,,,,,,,,,,,,,,,,,1,1,,,,,
ゴイサギ,,2,3,,,,,,,,,,,,,,,,,,,,,
ササゴイ,,,,,,1,,,,,,,,,,,,,,,,,,
アオサギ 【3】,14,26,22,167,33,21,14,22,14,15,24,8,7,19,8,6,14,7,27,28,12,4,21,8
