調査年月日,2023/9/1,2023/9/13,2023/9/26,2023/10/2,2023/10/16,2023/10/23,2023/11/5,2023/11/13,2023/11/21,2023/12/3,2023/12/13,2023/12/25,2024/1/3,2024/1/13,2024/1/29,2024/2/6,2024/2/14,2024/2/22,2024/3/4,2024/3/12,2024/3/23,2024/4/2,2024/4/13,2024/4/22,2024/5/6,2024/5/16,2024/5/23
オオハクチョウ 【1】,,,,,2,3,34,62,27,,20,3,13,20,16,79,39,116,5,9,13,5,5,2,,,
オカヨシガモ 【3】,,,,,,,,,,,,,,3,,,,,,,,,2,,,,
ヨシガモ 【3】,,,43,300,102,48,,,,,,2,,,,,,,,,,,,2,2,,
ヒドリガモ 【1】,,,616,600,1258,878,78,225,39,2,1,,2,,2,,,24,9,,5,61,50,166,601,86,
マガモ 【2】,,,,,42,,,,5,2,,,,,,,,2,,2,,5,,,,,
ハシビロガモ 【3】,,,,2,2,12,16,34,24,,,,,,,,,,,,,,,,,,
オナガガモ 【2】,,28,774,1200,1235,1236,876,2833,289,,58,7,,23,13,,8,169,140,1,234,76,528,626,195,3,4
コガモ 【3】,,67,160,200,31,106,1,31,1,4,9,,,,,,,,,1,2,5,79,107,302,3,
スズガモ 【2】,,,,,,,7,,,,,,,,,,,,,,,,1,,,,
ホオジロガモ 【3】,,,,,,,47,12,14,23,13,25,22,33,30,102,23,31,53,20,25,20,5,1,,,
ミコアイサ 【3】,,,,,,,,,,,,,,,1,1,2,1,,,,,,,,,
カワアイサ 【3】,,,,,,,15,15,23,4,4,5,2,14,1,54,,,1,,11,2,,,,,1
ウミアイサ 【3】,,,,,3,3,8,22,38,9,32,18,14,14,13,15,,5,9,2,2,17,1,2,2,,
アオサギ 【3】,42,58,122,154,42,77,,,,,,,,,,,,,,,,1,5,3,,,
ダイサギ,,3,,13,,3,,,,,,,,,,,,,,,,,6,1,,,
タンチョウ 【3】,,2,,,,,,,,,2,,,,1,,,,1,,4,,,2,2,,
ダイゼン,,,3,23,,,,,,,,,,,,,,,,,,,,,,,
コチドリ,,,,,,,,,,,,,,,,,,,,,,,,1,,,
ツルシギ,,,,,,,,,,,,,,,,,,,,,,1,,,,,
コアオアシシギ,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
アオアシシギ,,1,,,,,,,,,,,,,,,,,,,,,,,,,
キアシシギ,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,
ソリハシシギ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
トウネン,,,,,,,,,,,,,,,,,,,,,,,,,,,100
ハマシギ,,,4,,6,,,,,,3,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,7,1,,,,,,,,,,,,,,,,,,
ウミネコ 【3】,30,48,65,2,2,1,2,1,,,,,,,,,,,,,2,1,3,1,4,6,5
カモメ 【3】,,,,,,,4,1,7,1,,,,8,17,,8,,,,,,,,,,
ワシカモメ 【3】,,,,,,,,,,,,,,,1,,,,,,,,,,,,
セグロカモメ 【3】,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,
オオセグロカモメ 【3】,2,,1,1,,,2,2,1,,1,,1,1,,,,1,1,3,1,1,,,3,4,1
ミサゴ 【3】,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
トビ 【3】,,,,1,,1,1,,,1,1,,,,,,,,,,1,,,,,,
オジロワシ 【2】,1,1,1,1,,,1,,,3,2,1,1,2,,1,2,1,,,1,1,,,,,
オオワシ 【2】,,,,,,,,,,,,2,,1,2,,,,1,2,,,,,,,
ハイタカ,,,,,,,,,,,,,,,,,,,,,,,,1,,,
チゴハヤブサ 【3】,,,,,,,,,,,,,,,,,,,,,,,,,,,1
