調査年月日,2023/9/6,2023/9/13,2023/9/27,2023/10/4,2023/10/11,2023/10/25,2023/11/8,2023/11/15,2023/11/22,2023/12/6,2023/12/13,2023/12/27,2024/1/3,2024/1/17,2024/1/24,2024/2/7,2024/2/14,2024/2/21,2024/3/6,2024/3/13,2024/3/27,2024/4/2,2024/4/16,2024/4/24,2024/5/7,2024/5/14,2024/5/21
ツクシガモ,,,,,,,,,,,,2,3,8,2,21,22,16,15,13,12,,,,,,
オカヨシガモ 【3】,,,,,3,,103,350,192,148,84,72,78,70,67,102,88,82,102,109,63,77,2,20,7,2,2
ヨシガモ 【3】,,,,,,,,2,,,,,,,,,,,,,,,,,,1,
ヒドリガモ 【1】,,,26,18,44,6,68,68,74,105,48,54,51,39,36,110,41,81,192,105,118,152,16,29,,,
マガモ 【2】,30,61,42,50,19,86,112,83,95,66,74,125,128,80,165,212,102,172,150,178,158,93,2,3,3,,
カルガモ 【3】,235,393,629,220,207,430,146,131,220,211,184,210,255,141,138,289,203,211,205,135,168,267,49,31,19,17,17
ハシビロガモ 【3】,,,5,,36,10,29,,4,,5,,,,,1,2,6,11,2,5,4,2,2,,,
オナガガモ 【2】,,7,134,250,421,1084,903,490,1024,1091,1190,636,1607,1938,1074,1885,1498,1175,2340,2821,122,170,2,3,2,1,
シマアジ 【3】,,6,10,,6,,,,,,,,,,,,,,,,,3,,,,,
トモエガモ 【2】,,,,,,,,,,2,87,29,,,47,,6,2,9,,,2,,,,,
コガモ 【3】,2,86,361,192,678,570,524,305,382,175,272,206,233,258,202,249,247,175,278,246,269,131,222,189,2,3,1
ホシハジロ 【2】,8,1,,,,6,6,2,66,58,141,363,46,208,134,430,111,112,199,930,208,52,4,7,1,3,1
キンクロハジロ 【1】,,5,,3,22,354,147,157,202,266,203,306,470,715,648,670,854,837,920,604,622,866,69,131,5,7,8
スズガモ 【2】,11,4,15,18,26,732,934,1189,1451,1255,1315,460,834,1259,623,1286,1779,598,900,316,720,1488,395,792,117,12,12
ホオジロガモ 【3】,,,,,,,,,,4,1,,3,5,,2,1,1,,,,,,,,,
ウミアイサ 【3】,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
カイツブリ 【1】,,,,,,,,,,,,,,,,,,1,,,15,,,,,4,
カンムリカイツブリ 【1】,1,2,4,2,2,30,46,197,210,223,146,478,,260,,674,908,369,178,66,167,78,25,70,8,4,1
ミミカイツブリ,,,,,,,,,,,,,359,,284,,,,,,,,,,,,
ハジロカイツブリ,,,,,,,,3,4,4,4,7,11,15,8,2,10,2,22,10,,10,1,,,,
キジバト,1,3,2,2,2,3,1,4,3,2,,,1,1,3,4,3,3,2,4,3,3,,4,3,7,3
カワウ 【3】,3126,5290,2883,5736,2746,1217,73,498,1849,6071,314,196,215,119,385,474,240,7650,3968,2429,350,213,371,247,219,239,345
ゴイサギ,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ササゴイ,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3
アマサギ,,,,,,,,,,,,,,,,,,,,,,,,,5,,
アオサギ 【3】,112,105,113,137,113,90,76,115,136,96,56,41,90,42,55,61,41,34,60,20,31,27,58,24,23,30,35
ダイサギ,110,154,241,82,115,47,50,21,20,26,8,7,3,3,2,3,7,5,2,3,11,26,22,58,45,35,49
コサギ,6,16,15,7,3,4,27,3,9,1,2,5,1,,,1,13,6,20,37,20,43,18,22,5,1,2
ヘラサギ,,,,,,,,,,1,,,1,2,2,1,1,2,1,,2,2,1,2,,,1
クロツラヘラサギ,,,,,,,,,,1,,1,1,,,2,2,2,2,,2,2,2,2,,2,2
バン,,,,,1,,,,,,,,,,,,,,,,,,,,,,
オオバン 【2】,,,,,,5,8,2,4,1,2,5,15,10,11,38,15,24,38,37,36,8,4,4,,2,
ケリ,6,,4,,,,,,1,,,,,6,2,2,,,,,,,,2,1,2,1
ムナグロ,,8,,,,,,,,,,,,,,,,,,,,,,,,,
ダイゼン,31,34,32,,7,41,,52,,38,1,49,17,60,26,44,102,8,50,1,,15,56,38,55,54,21
ハジロコチドリ,,,,,,2,,3,2,,,,,,2,,,,,,,,,,,,
コチドリ,,,,,,,,,,,,2,2,,,,,,,,2,2,2,1,3,1,
シロチドリ,,,22,6,10,16,3,31,5,6,37,9,2,,38,11,5,,2,,,,1,,1,,
メダイチドリ,,,,33,,1,,,,,,,,,,,,,,,,,,,,,
タシギ,,,,,,,,,2,,,2,1,1,,2,,,,,,,,5,1,1,
オオハシシギ,,,,,,,,,,,,,,,,,,4,4,,,,,,,,
オグロシギ,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,
オオソリハシシギ,2,,1,4,,,,,,,,,,,,,,,,,1,,5,15,3,1,
チュウシャクシギ,,,,,,,,,,,,,,,,,,,,,,,,60,83,77,8
ダイシャクシギ,,,2,,,,,,,1,1,1,1,,,1,2,,1,1,,,,,,,
アカアシシギ,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,
コアオアシシギ,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
アオアシシギ,30,23,13,1,2,7,,6,9,2,,2,,5,9,6,7,14,14,,5,2,5,33,41,43,10
キアシシギ,,,,,,,,,,,,,,,,,,,,,,,,1,56,11,53
ソリハシシギ,7,7,,,,,,,,,,,,,,,,,,,,,,,4,2,3
イソシギ,12,13,8,16,4,11,11,9,13,12,9,18,18,10,8,14,10,9,13,4,11,6,6,5,6,3,4
キョウジョシギ,2,3,,,,,,,,,,,,,,,,,,,,,,,1,,
オバシギ,4,,3,,,,,,,,,,,,,,,,,,,,2,,,,
トウネン,54,33,138,19,35,36,2,,,,,,,,742,,,,,,,,,1,37,91,11
ハマシギ,2,4,118,7,211,479,82,1010,,334,3,1,4,20,,977,932,71,107,157,405,552,1374,1196,1370,502,24
ユリカモメ 【1】,,,,,1,,1,4,8,24,83,621,1115,12,53,63,83,447,341,423,1122,245,,11,,,
ズグロカモメ 【3】,,,,,,,,3,27,34,104,47,52,42,54,41,73,62,58,51,53,3,,,,,
ウミネコ 【3】,,219,159,3,119,135,1,121,4,,1,,2,,,1,,,,,,,,,,,
カモメ 【3】,,,,,,,,,,,,,,1,7,44,,57,289,54,73,80,,1,,,
シロカモメ 【3】,,,,,,,,,,,,,,,,,13,,,,,,,,,,
セグロカモメ 【3】,,1,,2,11,5,10,11,12,6,40,9,17,3,8,26,22,17,10,18,9,15,4,,2,,
オオセグロカモメ 【3】,,,,,,,,,,,,1,3,,,,2,4,3,2,,1,,,,,
コアジサシ,,,,,,,,,,,,,,,,,,,,,,,,12,69,45,88
ミサゴ 【3】,17,14,16,13,33,33,20,30,27,11,32,20,40,22,16,20,27,11,18,7,16,10,5,6,3,5,3
トビ 【3】,1,3,2,3,5,3,5,6,2,7,5,3,6,3,5,4,3,,1,2,2,,1,,1,,2
チュウヒ,,,,,,,,,,1,,2,1,,,,,,,,,,1,,,,
ハイイロチュウヒ 【3】,,,,,,,,,,,,,1,,,,,,,,,,,,,,
ハイタカ,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,
オオタカ 【1】,,,,,,,,1,1,,,,1,1,,,1,1,,,,1,,,,,
ノスリ 【2】,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
カワセミ,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1
チョウゲンボウ 【3】,,,,,1,,,,,2,,,,1,,,,,,,,,,,,,
ハヤブサ 【1】,,1,,1,,,1,1,,,,,,,1,1,,,,,,,,,1,,
モズ,,,,,,3,,2,,,,,2,1,,1,1,,,,,,,,,,
ハシボソガラス,42,66,15,26,61,28,32,55,34,14,22,21,12,14,13,23,19,26,23,19,16,6,22,21,22,3,21
ハシブトガラス,5,5,8,5,35,6,9,54,8,8,2,8,5,5,4,6,7,2,8,,1,4,7,3,2,5,3
シジュウカラ,,,,,,,,,,,,,,,,,,,,,,,,,1,,
ツバメ,1,,,,1,,,,,,,,,,,,,,,,6,23,12,14,15,12,9
イワツバメ,,,,,,,,,,,,,,,,,,,,,,7,6,,2,5,5
ヒヨドリ,,,46,36,130,26,,5,,9,2,4,15,41,5,7,5,2,5,1,6,3,8,3,1,1,
ウグイス,,,,,,,,,,3,,1,1,1,,,1,,,,,1,1,,,,
メジロ,,,,,,,,,,,,,,,,3,,,,,,,,,,,
エゾセンニュウ,,,,1,,,,,,,,,,,,,,,,,,,,,,,
オオヨシキリ,,,,,,,,,,,,,,,,,,,,,,,1,2,21,17,18
セッカ,,1,1,2,,,,,,,,,,,,,,,,,,,1,,,,
ムクドリ,36,18,4,,17,5,,1,14,2,,14,26,17,97,9,6,7,20,35,7,3,17,10,18,14,16
ツグミ,,,,,,,,,,,,10,2,3,,,,,6,1,1,3,,,,,
ジョウビタキ,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,
ノビタキ,,,1,,2,,,,,,,,,,,,,,,,,2,,,,,
イソヒヨドリ,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1
スズメ,,3,7,42,9,4,37,82,15,75,8,8,10,9,12,2,16,2,10,22,7,11,12,9,5,23,11
ハクセキレイ,4,4,4,5,9,17,11,17,24,11,9,14,18,11,7,9,5,9,7,6,16,8,2,7,2,4,1
セグロセキレイ,,,,,,,,,,,,,,,,,,,,,,,1,,,,
ビンズイ,,,,,,,,,,,3,,8,,,,,,,,,,,,,,
カワラヒワ,,,,2,53,2,,3,,1,,5,8,,,6,4,,1,5,4,6,14,4,5,,7
ベニマシコ,,,,,,,,,,,,,,,,,,,5,,,,,,,,
ホオジロ,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
アオジ,,,,,,,,,,,,,,,,,2,,,,,,,,,,
オオジュリン,,,,,,2,8,26,9,21,9,14,15,31,4,12,21,11,13,9,5,6,,,,,
ドバト,12,28,99,40,18,20,15,16,25,7,78,12,76,21,14,48,11,5,6,9,18,15,15,12,5,17,15
