調査年月日,2024/10/5,2024/10/21,2024/11/6,2024/11/16,2024/12/4,2024/12/16,2025/1/5,2025/1/23,2025/2/6,2025/2/23,2025/3/6,2025/3/21
トモエガモ 【2】,,,,,,,1,,,,,
ハシビロガモ 【3】,,1,12,5,2,1,3,3,1,,,5
オカヨシガモ 【3】,,5,2,78,66,57,125,31,28,56,50,10
ヨシガモ 【3】,4,,1,9,27,16,25,20,36,20,35,
ヒドリガモ 【1】,17,453,832,721,942,844,889,759,385,673,540,
アメリカヒドリ 【3】,,,,,1,1,1,1,1,,1,588
カルガモ 【3】,2,34,100,41,122,129,73,57,62,54,16,24
マガモ 【2】,,,3,,,5,,5,13,,5,
コガモ 【3】,5,76,39,64,63,25,42,54,54,50,31,12
ホシハジロ 【2】,,1,7,,2,,,,,,,
クイナ,,,,,,,,,1,1,,
バン,16,18,16,35,36,33,49,34,8,25,24,11
オオバン 【2】,14,124,988,1615,2579,3550,3133,1906,2202,2215,2162,2043
ヒクイナ,,,,,,,,,,2,,
カイツブリ 【1】,28,26,47,54,36,17,68,30,35,55,19,31
カンムリカイツブリ 【1】,,,3,12,2,7,12,5,11,18,12,8
タシギ,,,,,,,,,4,,,
クサシギ,,,,,,,,,1,,,
ユリカモメ 【1】,,,,,,,6,,17,,,8
カワウ 【3】,2,,16,42,,48,58,,104,44,,65
ヘラサギ,,,1,,,5,7,,7,,,6
クロツラヘラサギ,,,,,,4,6,,11,,,7
アオサギ 【3】,,,4,,,8,,,3,,,2
(亜種)ダイサギ,,,,,,6,,,4,,,2
(亜種)チュウダイサギ,,,1,,,,,,,,,1
チュウサギ,,,1,,,,,,,,,1
コサギ,,,8,,,6,,,8,,,3
ミサゴ 【3】,,,2,,,2,,,1,,,1
トビ 【3】,,,,,,,,,,,,1
カモ類,,6,,,,,,,,,,
