調査年月日,2024/9/5,2024/9/15,2024/9/25,2024/10/5,2024/10/16,2024/10/25,2024/11/4,2024/11/14,2024/11/24,2024/12/5,2024/12/14,2024/12/26,2025/1/7,2025/1/16,2025/1/26,2025/2/7,2025/2/17,2025/2/26,2025/3/7,2025/3/21,2025/3/26,2025/4/4,2025/4/17,2025/4/27
(亜種)シジュウカラガン 【1】,,,,,,,,,,,,,,,,1,,,,,,,,
(亜種)オオヒシクイ 【1】,1,1,1,1,3,4,22,143,469,402,71,343,475,608,172,311,217,328,114,,,,1,1
(亜種)ヒシクイ 【1】,,,,,,,,,,16,,34,34,28,30,44,45,,30,,,,,
マガン 【1】,,,,,,135,177,,,1,6,371,,808,,919,1,,677,,,,,
コハクチョウ 【1】,,,,,10,6,,225,,,50,1,,1,,10,1,,72,,,,,
オシドリ 【1】,2,2,2,22,,4,,3,,,,,,,,,,,,,,,,
トモエガモ 【2】,,,,,4,33,64,307,1502,4300,2615,4661,8294,16350,3099,462,809,853,538,193,38,,,
シマアジ 【3】,,,,,,,,,,,,,,,,,,,,,,,,2
ハシビロガモ 【3】,,,12,1,12,12,6,25,8,16,12,13,35,28,59,2,57,118,77,56,75,23,31,42
オカヨシガモ 【3】,,,7,,,,,,,,1,2,,1,3,,2,4,,,2,,,
ヨシガモ 【3】,,,5,1,5,8,6,22,5,,,,,,,,2,3,,,2,,,
ヒドリガモ 【1】,,6,,,54,6,8,2,2,10,2,,,,5,,10,7,16,9,4,,1,
カルガモ 【3】,10,7,15,9,8,2,9,8,,4,4,12,3,4,2,,3,4,10,,14,4,6,2
マガモ 【2】,10,7,9,12,58,56,585,683,957,1667,1661,2386,2268,3782,2119,1645,,1772,,1675,485,27,4,2
オナガガモ 【2】,,7,,,11,35,60,8,20,75,19,82,9,194,76,7,244,306,,20,,,,
コガモ 【3】,,90,65,2,53,96,51,60,11,176,93,168,180,450,130,57,277,169,130,127,179,120,147,129
ホシハジロ 【2】,,,1,,7,16,17,3,3,6,19,9,3,4,10,2,20,13,10,25,7,1,,
キンクロハジロ 【1】,,,2,1,,2,1,,,1,1,,,4,1,1,,,,2,1,1,1,4
ミコアイサ 【3】,,,,,,,,,1,1,2,1,8,5,6,9,4,2,3,1,,,,
カワアイサ 【3】,,,,,,,,,5,,,,,,,,,,,,,,,
オオバン 【2】,,,1,1,74,33,7,5,7,12,2,9,4,6,5,2,,13,9,7,5,4,,10
ヒクイナ,,,,,,,,,,,,,,,,,,,,,,,1,
カイツブリ 【1】,,1,,,,1,1,,,2,1,2,,,1,,,,,,1,1,6,2
カンムリカイツブリ 【1】,,,,,,,,3,2,3,2,2,,1,2,2,,,2,1,1,,,
ハジロカイツブリ,,,,,,,,,,,,,,,,,1,,,,,,,
キアシシギ,1,,,,,,,,,,,,,,,,,,,,,,,
カワウ 【3】,15,13,44,30,3,517,20,13,2,,4,1,6,3,2,2,,1,3,3,7,4,5,
アオサギ 【3】,2,4,2,1,,,,1,,,1,,1,,1,,,,2,2,5,4,2,
ダイサギ,2,6,2,1,,,,,1,,1,1,,1,,,,,,1,3,2,,1
チュウサギ,2,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,,1,,,,,1,,,,,,,,,1,,,,1,,,1,1
クマタカ 【2】,,,,,,,,1,,1,,,,,,,,,,,,,,
ハイタカ,,,,,,,,,1,,,,1,,,,,,,,,,,
オオタカ 【1】,,,,,,1,,,,,,,,1,,,,,,,,,,
チュウヒ,,,,,,,1,1,,1,,,,1,,,,,,,,,,
トビ 【3】,,,2,,,3,2,,,,,,,,1,,,,,1,,,1,
ノスリ 【2】,,,1,,,,,,,,,,1,,,,,,,,,,,
