調査年月日,2024/9/7,2024/9/19,2024/9/30,2024/10/3,2024/10/18,2024/10/25,2024/10/30,2024/11/8,2024/11/12,2024/11/26,2024/11/29,2024/12/9,2024/12/18,2024/12/31,2025/1/8,2025/1/19,2025/1/30,2025/2/5,2025/2/18,2025/2/26,2025/3/5,2025/3/19,2025/3/26,2025/4/5,2025/4/18,2025/4/28,2025/5/1
コクガン 【3】,,,,,,67,,269,200,,567,,,,,,,,,,,110,,,,,
ヒシクイ 【1】,,,102,,,,,2857,,,,,,,,,,,,,,,,,503,,
(亜種)ヒシクイ 【1】,,,,150,,25,1230,,622,,,,,,,,,,,,,,,,,,
オオハクチョウ 【1】,,,,,70,88,212,434,150,29,60,,,,,,,,,,,1304,580,110,218,230,190
ハシビロガモ 【3】,,6,,10,,20,,,,50,,,,,,,,,,,,,,,,,200
ヒドリガモ 【1】,,500,2500,1000,,503,,,300,,,,,,,,,,,,,,,20,150,,500
マガモ 【2】,,,,50,,,,,,,,,,,,,,,,,,,,10,,,4
オナガガモ 【2】,,4,500,70,,430,,,200,,,,,,,,,,,,,8,,,550,,30
スズガモ 【2】,,500,,,,300,,,,,,,,,,,,,,,,8000,,,500,,
シノリガモ 【3】,,,,,,,,,,,,,,,2,,,,,,,,,,2,,
クロガモ 【3】,,,,20,,13,,8,,,,,,,,,,10,,,10,,,,42,,
コオリガモ 【3】,,,,,,,,,,,,,,,4,,,,,,,,,,,,
ホオジロガモ 【3】,,,,,,,,,,,,,,,,,,,,,,3,,,,,
カワアイサ 【3】,10,,,,,,,,,,,,,,,,,,,,,280,,,1,,
ウミアイサ 【3】,,,,,,100,,50,,,,,,,,,,,,,3,58,,75,1,,5
オオバン 【2】,,,,,,22,,,,,,,,,,,,,,,,,,,,,
タンチョウ 【3】,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ハジロカイツブリ,,43,,,,,400,150,400,,,,,,,,,,,,,,,,,,
トウネン,,35,,,,,,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,,20,,10,,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,500,,30,,,,,,,,,,,,,,,,170,5
ウミネコ 【3】,,70,,,,,,300,,,,,,,,,,,,,,,,,,,
ワシカモメ 【3】,,,,,,,,,,,,,,,1,,,2,,,,,,,,,
シロカモメ 【3】,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
オオセグロカモメ 【3】,36,,,,,,,,,,,,,,9,,,20,5,,10,,,,,,
アビ,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
ヒメウ,,,,,,,,,,,,,,,,2,,,,,,,,,,,
カワウ 【3】,,,,1,,,214,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,80,88,255,140,20,38,170,,,,,,,,,,,,,,,,2,,6,55,50
ダイサギ,12,45,48,17,3,1,,,,,,,,,,,,,,,,,,,,,
ハイタカ,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ハイイロチュウヒ 【3】,,,,,,,,1,,,,,,,,,,,,,,,,,,,
トビ 【3】,,,2,2,10,3,,2,,4,,,,,,,,,,,2,2,1,,,,
オオワシ 【2】,,,,,,,,,,,,1,1,,,,1,9,,,,,,,4,,
オジロワシ 【2】,1,,,2,,1,,2,,,,,,1,,,,,,2,,3,,,,2,2
コチョウゲンボウ 【3】,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ハシボソガラス,,,,,,,,,,2,,6,,2,2,,,1,,1,,,,,,,
ハシブトガラス,,,70,,3,3,,2,,5,,,,,,,2,,1,,,,3,,1,,
シジュウカラ,,,,,,,,,,,,,,,,,,,,,,1,,,,,
ヒバリ,,,,,,,,6,,,,,,,,,,,,,,,,,,,
スズメ,,,,,,,,,,,,,,,,,,,,,,8,,,,,
ハクセキレイ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
タヒバリ,,,,2,,2,,,,,,,,,,,,,,,,,,,,,
ハギマシコ,,,,,,,,,,,,,30,,,,,,,,,,,,,,
カワラヒワ,50,,,,20,,,,,,,,,,,,,,,,,,,,,,
オオジュリン,,,,1,,,,,,,,,,,,,,,,,,,,,,,
カモメ科 【3】,,,95,100,500,,400,,,50,300,200,,,,,,,,,,200,17,,50,,200
カモ類,,,3000,,500,,18400,1000,,50,1700,,,,,,,,,,,500,840,250,500,1500,3000
