調査年月日,2024/9/6,2024/9/15,2024/9/29,2024/10/4,2024/10/15,2024/10/29,2024/11/2,2024/11/15,2024/11/29,2024/12/6,2024/12/14,2024/12/23,2025/1/5,2025/1/11,2025/1/27,2025/2/2,2025/2/17,2025/2/21,2025/3/1,2025/3/14,2025/3/29,2025/4/3,2025/4/18,2025/4/25
ヒシクイ 【1】,,,,,40,107,103,,,,,,,,,,,,,,,,,
(亜種)オオヒシクイ 【1】,,,19,,,,,,,,,,,,,,,,,3,,4,,
マガン 【1】,,,17,,,8,,,,,,,,,,6,,,,3,,,,
コブハクチョウ 【1】,4,2,2,2,,4,,2,,2,,2,2,,,2,,,,,,,,
コハクチョウ 【1】,,,,2,24,2,,,,,,,,,,,,,,,5,20,,
オオハクチョウ 【1】,1,1,,,,19,2,17,4,6,31,16,4,2,,161,18,,5,,8,,,
トモエガモ 【2】,,,,,,,,,,,,,,,,,,,,28,,,,
ハシビロガモ 【3】,,,,,,,,,,,,,,,,,,,,,,,17,
オカヨシガモ 【3】,,,,,,,6,24,,,,,,,,,,,,9,3,6,,
ヨシガモ 【3】,,,,,,2,1,,,,,,,,,25,4,7,4,22,25,13,9,
ヒドリガモ 【1】,,,,168,8,2,1,65,,22,,,,,,,,,2,42,6,,,
マガモ 【2】,,,,3,3,31,75,,,,5,,,,,3,37,,57,180,61,2,6,
オナガガモ 【2】,,,,,,,,,,3,,,,,,,,,,5300,33,,,
コガモ 【3】,,,,3,,,,,,,,,,,,,,,,,5,3,,
ホシハジロ 【2】,,,,3,,,,,,,,,,,,,,,,,,,,
ミコアイサ 【3】,,,,,,,,,,,,,,,,2,,7,7,2,,,,
カワアイサ 【3】,,,,,,,22,,,,,,,,,,,,14,,,10,4,12
オオバン 【2】,,,,,,82,41,,,,,,,,,,,,,,,,,
カイツブリ 【1】,7,10,23,36,,,1,,,1,,,,,,,,,,,,,,
カンムリカイツブリ 【1】,,,,12,,2,5,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,1,,,1,,,,,,,,,,,,,,,,,
セグロカモメ 【3】,,,,,,,,,,,,,,,,,,,2,,,,,
オオセグロカモメ 【3】,,2,,,,,,,,,,,,,,,,,,,,,,2
カワウ 【3】,1,1,,,,,,,1,,,,,,,,,,,,13,,3,
アオサギ 【3】,1,1,,,,,,,,,,,,,,,,,,,,,,
ダイサギ,1,1,1,5,5,,1,7,8,2,1,,1,1,1,4,4,2,2,1,1,2,9,
ハイタカ,,,,,,,,,,1,,,,,,,,,,,,,,
トビ 【3】,,,1,,1,1,,,,,1,2,,,,3,,,13,1,1,2,,
オオワシ 【2】,,,,,,,,,,,3,,,1,,1,4,1,6,,,,,
オジロワシ 【2】,,1,,2,,3,1,2,1,3,4,2,2,2,2,6,,2,7,2,2,2,2,1
ノスリ 【2】,,,,,,,,,,,,1,,,,,,1,1,,,,,
カモ類,3,,,207,,22,30,11,,2,8,,,,,,50,7,30,100,,,,
ハクチョウ類 【1】,,,,,20,,10,,,,,2,,,,,,,,,,,,
ワシ類,,,,,,,,,,,,1,,,,,,,,,,,,
