調査年月日,2024/9/6,2024/9/16,2024/9/30,2024/10/4,2024/10/15,2024/10/30,2024/11/8,2024/11/18,2024/11/29,2024/12/5,2024/12/14,2024/12/30,2025/1/8,2025/1/18,2025/1/28,2025/2/4,2025/2/15,2025/2/27,2025/3/4,2025/3/15,2025/3/30,2025/4/2,2025/4/13,2025/4/29
(亜種)シジュウカラガン 【1】,,,,,,31,,,,,,,,,3,,,,,,,,,
ハクガン 【3】,,,,,,,,1300,1,350,,,,,,,,,,,,,,
ヒシクイ 【1】,,,,,,,530,800,,206,1100,,100,60,,40,400,,4,,,,,
(亜種)オオヒシクイ 【1】,,,,3,,302,,,120,,,,,375,1432,,63,864,130,,,,,
(亜種)ヒシクイ 【1】,,,,,,29,,,2,,,442,,,,,,27,,,,,,
マガン 【1】,,,,,,3706,1345,3700,70,7055,5000,31,540,1500,5500,1350,622,148,225,,,1,,
コハクチョウ 【1】,,,,,,317,416,257,15,433,192,295,175,6,117,123,238,23,,,,5,,
(亜種)アメリカコハクチョウ 【1】,,,,,,,3,2,3,,,1,,,,3,,,,,,,,
オオハクチョウ 【1】,,,,,,138,238,134,420,154,140,177,120,130,195,161,128,50,2,,,38,,
トモエガモ 【2】,,,,,,,,,2,,,,,,,,,11,,,,,,
ハシビロガモ 【3】,,,,,1,3,,,1,,,,,,,,,,,,11,2,3,2
オカヨシガモ 【3】,,,,,,,2,2,,,,,,,,,,1,,,,,2,
ヨシガモ 【3】,,,,,,,,,,,,,,,,,,2,,,,,,
ヒドリガモ 【1】,,,,,,5,1,18,,5,1,,1,,,,,,,,,3,,2
カルガモ 【3】,69,68,43,72,60,310,105,152,281,164,263,180,262,711,350,489,659,726,264,143,73,49,51,53
マガモ 【2】,,,,4,12,806,399,285,689,154,76,104,118,591,188,59,38,310,105,71,19,3,2,14
オナガガモ 【2】,,,,,11,40,22,18,2,,1,,1,3,1,,,6,,,,,,
コガモ 【3】,,2,,20,15,82,11,69,268,85,6,5,66,64,172,24,77,94,41,61,70,18,17,110
ホシハジロ 【2】,,,,,,,,3,,,,,,,,,1,,,,,,,
キンクロハジロ 【1】,,,,,1,,,,,,,,,,,,,,,,,,,1
スズガモ 【2】,,,,,,,,,,,,,,,,,,,,,,,1,
ホオジロガモ 【3】,,,,,,,,7,,6,1,,10,,10,4,3,,,,,,,
ミコアイサ 【3】,,,,,,1,4,3,2,12,10,11,13,5,10,13,17,30,29,1,,,,
カワアイサ 【3】,,,,,,,,,1,,,,,,29,,,,,,,,,
ウミアイサ 【3】,,,,,,,,,,,,,,,,,1,,,,,,,
クイナ,,,,,,,,,,,,,,,,,,,,,1,,,
オオバン 【2】,,,1,,7,14,2,2,2,3,4,8,1,4,6,1,3,6,6,3,10,5,7,8
カイツブリ 【1】,,,,2,6,3,2,3,3,,2,5,2,,,,,,,,5,,4,2
カンムリカイツブリ 【1】,2,16,19,16,21,27,11,7,10,8,,,,,2,,,1,3,2,8,9,23,37
ハジロカイツブリ,,,,,,,,,,,,,,,,,1,,,,,,,
オオセグロカモメ 【3】,,,,,,1,,,,,,,,,,,,,,,,,,
カワウ 【3】,,,,,,5,4,11,12,9,1,3,3,,,3,13,294,7,17,8,5,1,
ゴイサギ,5,19,,,,,,,,,,,,,,,,,,,,,,11
アオサギ 【3】,,2,3,,1,1,1,8,1,1,3,2,,3,1,2,1,4,6,40,340,26,244,176
ダイサギ,22,6,10,6,,15,1,2,2,2,1,1,5,8,2,13,3,6,9,2,8,2,12,94
チュウサギ,20,,,,,,,,,,,,,,,,,,,,,,,
コサギ,,,1,,,,,,,,,,,,,,,,,,,,,10
ミサゴ 【3】,,,,,,,,,,,,,,,,,,,,,,,1,
ハイタカ,,1,,,,,,,,,,,,,,,,,,,,,,
オオタカ 【1】,,1,,,,,,,,,,,,,,,,,,,,,,
チュウヒ,,,1,,,1,2,3,4,2,2,,,,,,1,,,,6,1,3,2
ハイイロチュウヒ 【3】,,,,,,,,,,,1,,,,,,,,,,,,,
トビ 【3】,7,1,4,2,3,2,1,6,17,5,7,17,4,1,2,6,7,14,7,2,10,3,5,13
オジロワシ 【2】,,,,,,,,2,1,1,1,1,1,1,,1,,,1,,,,,
ノスリ 【2】,,1,1,,1,,,,1,2,,3,1,1,,,,,,,1,,,1
ハヤブサ 【1】,,,,,,1,,,,,,,,,,,,,,,,,,
ハクチョウ類 【1】,,,,,,,39,120,,91,170,,18,85,,,106,,,,,,,
