調査年月日,2024/10/1,2024/10/27,2024/11/4,2024/11/19,2024/12/10,2024/12/24,2025/1/12,2025/1/21,2025/2/4,2025/2/18,2025/3/1,2025/3/18
トモエガモ 【2】,,,,3,8,1,3,2,2,1,1,
ハシビロガモ 【3】,,16,10,11,42,126,233,255,310,213,344,444
オカヨシガモ 【3】,,12,10,61,90,28,,2,,,,
ヨシガモ 【3】,,3,1,,,,,,,,,
ヒドリガモ 【1】,7,136,84,117,279,103,167,185,76,213,125,81
アメリカヒドリ 【3】,,,,,1,1,,1,,1,,
カルガモ 【3】,,,,2,,,,5,2,,,
マガモ 【2】,,25,4,69,37,72,79,121,100,69,61,23
オナガガモ 【2】,,,,,2,,,,,,,
コガモ 【3】,,18,3,6,14,8,10,5,4,10,2,
ホシハジロ 【2】,,5,25,73,28,21,31,46,37,19,43,47
メジロガモ 【3】,,,1,,,,,,,,1,1
キンクロハジロ 【1】,,,,1,,1,1,3,4,5,8,18
ミコアイサ 【3】,,,,1,7,5,3,3,,1,3,
オオバン 【2】,,2,21,15,20,8,3,6,3,4,3,6
カイツブリ 【1】,9,6,5,5,6,4,3,4,3,1,2,3
ハジロカイツブリ,1,,,,,,,,,,,
