調査年月日,2024/10/13,2024/10/26,2024/11/9,2024/11/22,2024/12/6,2024/12/25,2025/1/9,2025/1/25,2025/2/8,2025/2/22,2025/3/12,2025/3/29
オシドリ 【1】,,,,,,,,,,,259,
トモエガモ 【2】,,,5,37,787,127,,,,,,
ハシビロガモ 【3】,,2,5,,1,,,,,4,,9
オカヨシガモ 【3】,,,10,,,5,5,6,,8,4,3
ヨシガモ 【3】,4,1,,,,,,,,,,10
ヒドリガモ 【1】,319,28,19,1,98,33,40,19,62,48,182,51
カルガモ 【3】,158,312,495,179,109,301,282,560,699,152,243,153
マガモ 【2】,2,12,64,86,233,271,613,323,334,182,44,38
オナガガモ 【2】,123,5,35,22,25,672,1068,1845,2273,802,,
コガモ 【3】,32,108,15,,3,1427,24,5,44,53,33,2
ホシハジロ 【2】,20,112,,53,153,93,106,153,170,178,86,14
キンクロハジロ 【1】,10,,,3,9,14,20,19,31,13,13,11
スズガモ 【2】,1,,,,2,,,,,5,2,44
ホオジロガモ 【3】,,,,1,1,1,4,2,,,4,2
ミコアイサ 【3】,,,,,6,,5,4,,,,
ウミアイサ 【3】,,,,3,7,,1,3,,1,8,6
バン,3,,,,,,,,,,,
オオバン 【2】,14,36,,6,,1,4,,,,8,
カイツブリ 【1】,2,,,6,3,4,3,4,4,1,,3
カンムリカイツブリ 【1】,,,3,36,335,1,1,3,1,4,2,8
ハジロカイツブリ,,,,,,2,1,14,,,,
