調査年月日,2024/10/5,2024/10/20,2024/11/7,2024/11/23,2024/12/8,2024/12/27,2025/1/12,2025/1/24,2025/2/11,2025/2/23,2025/3/6,2025/3/23
コハクチョウ 【1】,,2,41,24,59,18,56,134,133,189,,
(亜種)アメリカコハクチョウ 【1】,,,,,,,1,,,,,
オオハクチョウ 【1】,,4,1,29,51,53,35,42,131,56,2,
トモエガモ 【2】,,,,,,,,,1,,,
シマアジ 【3】,1,,,,,,,,,,,
ハシビロガモ 【3】,,,,,,2,,,,,,
ヒドリガモ 【1】,,,,,,,,,,11,8,
カルガモ 【3】,12,78,47,5,19,53,23,16,100,110,81,30
マガモ 【2】,10,35,200,68,43,99,276,158,280,357,176,119
オナガガモ 【2】,,,,58,102,118,979,1059,1920,1714,173,
コガモ 【3】,30,70,87,43,137,57,33,25,55,37,22,70
(亜種)アメリカコガモ,,,,,,,,,,,,1
ホシハジロ 【2】,,,,,,2,3,,6,10,20,6
キンクロハジロ 【1】,,,,2,,3,1,5,4,6,9,18
ホオジロガモ 【3】,,,,,3,3,1,,,,,
カワアイサ 【3】,,,,,,,,,1,5,,
キジ,,,2,,,,,,,,,
キジバト,,,,,,,,2,,,1,3
オオバン 【2】,,,,2,3,7,4,5,,5,7,20
カイツブリ 【1】,,,1,,1,1,,,1,,3,1
カンムリカイツブリ 【1】,,,1,3,,,,,,,,
イカルチドリ,4,,,6,,4,,2,1,2,2,2
コチドリ,,,,,,,,,,,,2
イソシギ,4,,1,2,,,,,,1,,4
カワウ 【3】,1,,14,1,,1,8,2,,,1,3
アオサギ 【3】,2,,,1,,1,,,,,,3
ダイサギ,1,,3,3,,11,4,,,,1,1
トビ 【3】,,,3,,,8,,6,,,3,2
ノスリ 【2】,,,1,,,1,,,,,,
カワセミ,,,,,,1,,,,,,1
チョウゲンボウ 【3】,,,1,1,,,,,,,,
ハヤブサ 【1】,,,,,,1,,,,,,
モズ,,,,1,,,,1,,,,
ミヤマガラス,,,27,200,,,,,,,,
ハシボソガラス,,,,,,3,,3,,,2,
ハシブトガラス,,,1,,,1,,,,,,10
ヤマガラ,,,,,,,,,,,,1
シジュウカラ,,,,,,,,,,,2,
ヒバリ,,,,,,,,,,,,1
ヒヨドリ,,,24,,,3,,2,,,,
ウグイス,,,,,,,,,,,2,3
ツグミ,,,,,,,,,,,4,10
ジョウビタキ,,,1,,,,,,,,,
スズメ,,,,,,,,,,,10,15
キセキレイ,,,,1,,,,,,,,
ハクセキレイ,2,,,1,,3,,2,,,2,1
セグロセキレイ,1,,2,6,,3,,6,,,5,5
タヒバリ,,,,,,,,,,,,20
ベニマシコ,,,,,,1,,,,,,5
カワラヒワ,,,3,,,33,,6,,,8,15
ホオジロ,,,1,,,,,,,,,
アオジ,,,,,,,,,,,1,
オオジュリン,,,,,,,,,,,,3
コジュケイ,,,,,,,,,,,,1
ハクチョウ類 【1】,,,,,,,,,,43,,
