調査年月日,2024/10/4,2024/10/21,2024/11/14,2024/11/22,2024/12/11,2024/12/22,2025/1/2,2025/1/21,2025/2/10,2025/2/22,2025/3/7,2025/3/22
トモエガモ 【2】,,,686,1479,20000,2112,20000,1800,210,78,,
シマアジ 【3】,,,,,,,1,,,,,
ハシビロガモ 【3】,,2,8,24,,6,12,5,3,12,7,8
オカヨシガモ 【3】,,,11,5,1,18,10,,2,,4,
ヨシガモ 【3】,,,17,24,14,16,20,16,19,20,15,23
ヒドリガモ 【1】,,401,166,219,167,169,151,395,468,270,369,151
アメリカヒドリ 【3】,,,,,1,,,,,,,
カルガモ 【3】,,97,18,56,44,14,16,57,21,54,31,16
マガモ 【2】,43,68,121,111,73,50,26,72,54,64,156,157
オナガガモ 【2】,,3,175,551,174,159,44,112,,,66,1
コガモ 【3】,13,35,2,69,17,33,33,6,34,6,12,12
ホシハジロ 【2】,,115,618,1951,74,37,30,40,6,24,22,10
キンクロハジロ 【1】,,2,11,10,,,,,,1,,3
ミコアイサ 【3】,,,,,,2,2,2,1,,,
バン,,,,,,,,,1,,,3
オオバン 【2】,2,10,126,177,98,142,77,127,121,104,113,151
カイツブリ 【1】,,,1,4,,5,8,6,5,1,13,7
カンムリカイツブリ 【1】,,,4,4,,5,6,7,3,,9,11
ハジロカイツブリ,,,2,3,,2,,,,,,
カワウ 【3】,8,21,68,168,83,117,125,84,152,175,183,142
アオサギ 【3】,4,5,6,4,2,2,2,1,1,4,12,9
ダイサギ,8,5,3,,2,4,5,1,1,1,,1
コサギ,,,,,1,,,,,,,
カモ類,5,100,529,484,330,207,285,177,94,90,179,49
