調査年月日,2024/10/7,2024/10/21,2024/11/8,2024/11/22,2024/12/10,2024/12/23,2025/1/7,2025/1/20,2025/2/7,2025/2/21,2025/3/7,2025/3/21
トモエガモ 【2】,,,60,7,3,2,7,5,,5,,
ハシビロガモ 【3】,3,10,8,8,2,,,,,,,
オカヨシガモ 【3】,,,3,18,39,13,10,2,,,,
ヨシガモ 【3】,7,26,,,2,16,14,5,,,,
ヒドリガモ 【1】,43,120,101,132,110,57,85,75,33,7,26,13
カルガモ 【3】,14,200,192,193,297,134,172,82,66,7,105,38
マガモ 【2】,2,98,352,363,122,165,406,207,29,4,104,33
オナガガモ 【2】,,13,18,27,38,7,53,1,5,,,
コガモ 【3】,2,142,126,149,119,4,12,,3,,9,
ホシハジロ 【2】,,26,21,10,9,20,18,18,8,14,15,12
キンクロハジロ 【1】,,3,20,4,4,13,10,3,25,,,
ミコアイサ 【3】,,,3,3,15,20,15,8,13,13,,3
カワアイサ 【3】,,,2,,20,75,22,6,12,13,12,5
オオバン 【2】,38,77,16,7,7,13,2,3,13,6,4,4
カイツブリ 【1】,9,12,13,7,4,,1,,,,,1
カンムリカイツブリ 【1】,3,3,10,13,13,7,,,,,,2
カワウ 【3】,40,68,40,39,19,45,24,,,2,21,22
アオサギ 【3】,2,5,1,2,3,7,18,47,10,22,46,23
ダイサギ,,,,,,,,,11,,,
チュウサギ,1,1,1,,,,,,,,,
