調査年月日,2024/10/15,2024/10/28,2024/11/11,2024/11/23,2024/12/2,2024/12/21,2025/1/1,2025/1/18,2025/2/1,2025/2/15,2025/3/8,2025/3/26
トモエガモ 【2】,1,,,2,14,28,12,6,2,1,,
ハシビロガモ 【3】,3,2,1,12,16,3,7,110,112,88,116,152
オカヨシガモ 【3】,,,,6,,,,,,,3,
ヨシガモ 【3】,9,16,32,14,188,141,80,147,163,108,97,82
ヒドリガモ 【1】,2,4,9,19,12,96,59,76,45,61,28,7
カルガモ 【3】,,,1,,2,,1,,,,,
マガモ 【2】,33,102,776,1017,1720,2172,1777,1937,778,1256,1224,61
オナガガモ 【2】,2,2,7,6,38,9,2,1,2,136,,
コガモ 【3】,27,13,93,98,130,569,255,166,163,148,42,55
ホシハジロ 【2】,,,1,5,39,34,18,23,35,40,,5
キンクロハジロ 【1】,,,,,,,,2,,2,1,3
ミコアイサ 【3】,,,,,,,,,1,,,
オオバン 【2】,,11,10,7,12,16,4,8,18,10,25,19
カイツブリ 【1】,1,1,,,,,,,,,,
カワウ 【3】,,,1,9,,,5,5,5,2,1,2
アオサギ 【3】,1,,1,,,,,2,1,,,2
ダイサギ,1,,,,,,,,,,,
オオタカ 【1】,,,,,,,,,,1,,
ハイイロチュウヒ 【3】,,,,1,,,,,,,,
