調査年月日,2024/9/5,2024/9/14,2024/9/26,2024/10/2,2024/10/15,2024/10/25,2024/11/1,2024/11/14,2024/11/21,2024/12/2,2024/12/13,2024/12/23,2025/1/3,2025/1/13,2025/1/22,2025/2/2,2025/2/16,2025/2/24,2025/3/2,2025/3/14,2025/3/24,2025/4/6,2025/4/17,2025/4/22,2025/5/2,2025/5/13
オオハクチョウ 【1】,,,,,,59,64,32,12,3,10,,,,,39,18,2,12,37,11,21,12,,,
ハシビロガモ 【3】,,,6,4,56,37,13,10,3,2,,,,,,,,,,,,,,,,
ヨシガモ 【3】,,,6,23,28,2,2,2,,,,,,,,,,,,,,,,,,2
ヒドリガモ 【1】,,,903,715,730,124,62,22,7,,1,,,,,,,,,,23,11,41,178,131,72
アメリカヒドリ 【3】,,,1,,,,,,,,,,,,,,,,,,,,,,,
マガモ 【2】,,,,,30,,27,6,,,,,,,,,,,,,7,,,1,2,
オナガガモ 【2】,,,743,1306,2659,437,769,252,61,102,5,75,,,,,,,,176,427,72,19,158,13,
コガモ 【3】,,28,,81,69,9,5,4,,48,11,,,,,,,,,,32,13,6,53,25,
スズガモ 【2】,,,,,,6,3,7,12,2,2,,,1,,,,,,,,,,,,
ホオジロガモ 【3】,,,,,,16,11,33,15,16,25,33,35,24,27,22,39,53,33,41,34,29,17,14,,
カワアイサ 【3】,,,,,,16,22,19,19,21,5,75,11,7,11,32,20,,,,3,,1,,,
ウミアイサ 【3】,,,,,,7,13,18,21,29,19,49,18,28,6,9,5,7,30,17,6,12,4,17,10,11
オオバン 【2】,,,,,1,,,,,,,,,,,,,,,,,,,,,
タンチョウ 【3】,,4,,,2,,,,,,,,,1,1,1,,1,,,,2,,,1,
ダイゼン,,,,,21,,,,,,,,,,,,,,,,,,,,,
メダイチドリ,,,,,21,48,,,,,,,,,,,,,,,,,,,24,
トウネン,,28,12,,3,5,,,,,,,,,,,,,,,,,,,,
ハマシギ,,,,,44,4,,,,,,,13,,,,,,,,,,,,,7
オオジシギ,,,,,,,,,,,,,,,,,,,,,,,,,,2
キアシシギ,26,,,,,,,,,,,,,,,,,,,,,,,,,1
タカブシギ,1,,,,,,,,,,,,,,,,,,,,,,,,,
アオアシシギ,1,,,,1,,,,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,,1,,1,,,,,,,,,,,,,,,
ウミネコ 【3】,36,48,,,96,4,19,,,,,,,,,,,,,2,,2,,,2,1
カモメ 【3】,,,,,,,,,1,2,,,,17,1,1,,,,,,,1,,,
オオセグロカモメ 【3】,3,4,1,,,1,,,2,,,,1,1,,1,,1,1,1,,,1,,,
ウミウ,,,,,,,,,,,,,,,,,,,,,,,1,1,,
アオサギ 【3】,192,158,158,31,56,39,2,,,,,,,,,,,,,,,,,,,
ダイサギ,5,,3,,2,4,4,,,,,,,,,,,,,,,,,,,
トビ 【3】,,2,2,1,,1,,,1,,,2,,1,1,,,1,1,1,,,,,,2
オオワシ 【2】,,,,,,,,1,,,,3,,4,4,,,,,,,,,,,
オジロワシ 【2】,,,,,,,,,,1,,2,,2,3,1,1,,,1,,1,,,,
