調査年月日,2024/10/8,2024/10/25,2024/11/7,2024/11/27,2024/12/7,2024/12/25,2025/1/8,2025/1/23,2025/2/9,2025/2/25,2025/3/7,2025/3/26
オシドリ 【1】,9,,,,,,,,,,,
ハシビロガモ 【3】,,,,,,,,4,,,,21
ヨシガモ 【3】,2,4,7,4,,,,,,,,
ヒドリガモ 【1】,,,,,6,,,,,,,
カルガモ 【3】,34,24,90,48,36,,5,,,21,3,12
マガモ 【2】,14,45,13,7,16,8,7,9,11,10,7,10
コガモ 【3】,,,3,1,13,5,5,6,,,,20
ホシハジロ 【2】,,,,,,,1,,,,,
キンクロハジロ 【1】,,,,,,,,,,1,,
ミコアイサ 【3】,,,,,,,1,,,,,
バン,1,4,4,,,,,,,,,
オオバン 【2】,,5,26,9,10,4,1,3,4,2,4,3
カイツブリ 【1】,3,2,4,3,1,2,3,,2,1,1,2
カワウ 【3】,2,,,,41,1,,,,,,1
アオサギ 【3】,1,1,1,1,2,1,1,,,,,5
ダイサギ,1,,,,,,,,,,,
ミサゴ 【3】,,,,,1,,,,,,,
カワセミ,1,,,,,,,,,,,
キセキレイ,,,,1,,1,,,,,,
ハクセキレイ,,,,1,,,,,,,,
セグロセキレイ,,1,,2,,,,,,,,
