調査年月日,2024/10/10,2024/10/25,2024/11/10,2024/11/24,2024/12/12,2024/12/26,2025/1/9,2025/1/23,2025/2/7,2025/2/23,2025/3/12,2025/3/23
マガン 【1】,,,2,,,,,,,,,
ハシビロガモ 【3】,,,,,,,,,2,8,,
オカヨシガモ 【3】,,,2,,,,,,,,,
ヨシガモ 【3】,,,,,,,42,8,16,19,4,
ヒドリガモ 【1】,,17,18,56,44,29,110,92,59,42,2,26
カルガモ 【3】,24,21,66,173,92,117,134,49,131,117,79,101
マガモ 【2】,2,64,145,206,202,102,690,134,296,235,381,42
オナガガモ 【2】,,,8,,,,18,2,,22,8,
コガモ 【3】,61,111,32,193,276,68,45,36,130,104,71,95
ホシハジロ 【2】,,,,,,,,,,,,2
キンクロハジロ 【1】,,,,,,,,,2,4,,
スズガモ 【2】,,,,,,,,,,,,1
ミコアイサ 【3】,,,,,,1,1,,,,,1
カワアイサ 【3】,,,6,6,6,7,2,,6,4,4,
オオバン 【2】,,,1,2,,,6,4,10,7,,8
カイツブリ 【1】,,2,3,,1,1,,4,3,2,,
カンムリカイツブリ 【1】,1,,1,5,4,1,,,,,,1
ハジロカイツブリ,,,,,1,,1,,,,,
コウノトリ,2,2,6,,2,,,,2,,,
カワウ 【3】,1,2,8,3,1,1,1,2,3,3,2,3
ヘラサギ,,,,,,,,,1,,,
アオサギ 【3】,4,3,8,2,5,1,2,2,2,2,1,3
ダイサギ,9,5,41,4,6,3,3,4,2,2,1,2
コサギ,,,1,,,,,,,,,
