調査年月日,2024/9/7,2024/9/15,2024/9/29,2024/10/6,2024/10/13,2024/10/27,2024/11/3,2024/11/17,2024/11/24,2024/12/8,2024/12/15,2024/12/22,2025/1/2,2025/1/15,2025/1/26,2025/2/2,2025/2/16,2025/2/24,2025/3/1,2025/3/15,2025/3/23,2025/4/5,2025/4/19,2025/4/27,2025/5/5,2025/5/11
ハシビロガモ 【3】,,,4,,,48,36,35,51,45,102,47,62,101,276,100,226,168,178,298,111,130,23,18,8,1
オカヨシガモ 【3】,,,,,,3,,41,55,79,51,74,13,21,14,47,19,21,16,9,15,,,,,
ヨシガモ 【3】,,,,,12,,,,,,,,,,,,,,,,,,1,,,
ヒドリガモ 【1】,,,,,1,6,8,22,84,69,77,15,29,65,26,69,76,54,35,34,49,14,1,,,
カルガモ 【3】,7,26,14,29,14,17,21,39,18,3,3,2,9,26,13,7,7,16,19,5,2,7,4,4,2,4
マガモ 【2】,,1,1,1,1,2,9,6,19,1,2,,9,2,6,13,5,8,7,6,24,20,,,,
オナガガモ 【2】,,,9,22,14,263,7,62,299,190,104,51,134,225,281,708,431,497,468,258,132,30,4,4,4,4
コガモ 【3】,,,13,37,44,11,6,12,15,3,11,5,14,26,20,70,37,58,104,80,98,102,69,40,5,2
ホシハジロ 【2】,,,,2,1,2,4,10,4,4,5,5,2,4,3,14,2,5,4,9,1,4,,,,
キンクロハジロ 【1】,,,,,,2,2,3,1,,1,,,,,,,1,,3,,3,,,,
スズガモ 【2】,1,1,1,1,1,30,49,90,107,91,123,159,141,102,136,129,103,96,76,81,62,68,10,4,2,1
バン,,,,,,,,,,,1,,,,,,,,,,,,,,,
オオバン 【2】,,,,,1,28,40,172,336,447,565,611,611,741,773,,745,747,749,541,340,406,55,26,8,3
カイツブリ 【1】,1,2,2,2,6,5,6,5,5,3,5,7,7,6,5,6,4,5,8,5,5,8,6,1,1,1
カンムリカイツブリ 【1】,,,,,,,,1,1,1,2,3,1,1,2,1,2,1,2,2,1,,,,,
ムナグロ,,,,,,,,,,,,,,,,,,,,,,,,1,,
ダイゼン,,16,4,,13,1,,,13,30,14,18,14,,18,23,18,26,30,12,32,15,28,17,32,32
イカルチドリ,,,,,,,,1,,,,,,,,,,,,,,,,,,
コチドリ,,,,3,,,,,,,,,,,,,,,,,,3,,,,4
オオメダイチドリ,,,,,,,,,,,,,,,,,,,,,,,,1,,
メダイチドリ,18,26,18,22,21,12,,,,,,,,,,,,,,,,,38,19,34,20
チュウシャクシギ,,,,,,,,,,,,,,,,,,,,,,,1,17,83,165
オオソリハシシギ,,1,,,,,,,,,,,,,,,,,,,,,10,19,8,9
キョウジョシギ,,,,,,,,,,,,,,,,,1,,1,2,,,,16,5,1
オバシギ,,,2,,,,,,,,,,,,,,,,,,,,,,,
コオバシギ,,,1,,,,,,,,,,,,,,,,,,,,,,,
キリアイ,,,1,,,,,,,,,,,,,,,,,,,,,,,
トウネン,27,102,172,157,61,12,6,,,,,,,,,,,,,,,,,1,30,225
ミユビシギ,,,,1,,,,,,,,,,,,,,,,,,,1,1,,
ハマシギ,,1,17,34,127,1,6,13,200,150,32,364,244,,50,358,216,,,317,,,336,412,306,417
タシギ,,,,,,,,,,,,,,,,,,1,,,,,3,1,,
ソリハシシギ,1,8,2,4,1,,,,,,,,,,,,,,,,,,,,,
イソシギ,4,4,5,5,6,2,2,1,1,1,1,1,,,1,1,1,2,1,1,1,,1,,,1
キアシシギ,9,1,,,,,,,,,,,,,,,,,,,,,,6,34,46
アカアシシギ,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
ツバメチドリ,,,,,,,,,,,,,,,,,,,,,,,1,,,
ユリカモメ 【1】,,,,,11,,,,1,,,1,1,,1,3,,1,3,17,18,59,1,6,,
ズグロカモメ 【3】,,,,,,,,,,1,,1,3,4,3,1,3,3,1,3,,,,,,
ウミネコ 【3】,3,3,1,2,2,1,,1,,,,,,,,,,,,,,,,,,
セグロカモメ 【3】,,,,,,,,,,,,,,1,,1,5,,,,,,,,,
カワウ 【3】,91,140,51,45,62,68,57,28,16,7,5,5,4,3,2,3,33,1,5,11,11,7,14,9,14,22
ゴイサギ,,,,,,,,1,,,,,,,,,1,,,,,,,,,
アマサギ,,,1,,,,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,26,71,36,36,59,48,38,24,36,23,12,10,6,3,8,3,9,6,7,12,5,3,8,10,5,6
ダイサギ,40,99,51,31,43,31,17,18,18,3,1,3,1,2,1,1,3,1,3,3,6,13,13,16,20,12
チュウサギ,1,,,,,,,,,,,,,,,,,,,,,,3,,,
コサギ,5,8,9,6,9,18,5,2,4,2,4,3,1,1,1,,1,2,1,9,3,18,7,12,2,1
ミサゴ 【3】,,,,,,1,1,1,1,1,,1,,1,1,,,,1,,,,,,1,
ツミ 【3】,,,,2,,,,,,,,,1,,,,1,1,,1,2,1,2,2,2,2
ハイタカ,,,,,,,,,,1,1,1,,,1,,,,,,1,,,,,
オオタカ 【1】,,,,,,,1,1,1,1,,1,1,,,1,,,,,,,,,,
トビ 【3】,1,,,,2,,1,,,1,1,2,1,,,,1,1,2,1,,,,,,
サシバ,,,1,,,,,,,,,,,,,,,,,,,,,,,
ノスリ 【2】,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,
チョウゲンボウ 【3】,,,,,,,,,,,,,,,,,,,,,,,,1,,
ハヤブサ 【1】,,,,1,1,,,,1,,,1,1,,,,1,,,,1,1,,1,1,
チドリ科,9,13,3,,,,,,,,,,,,,,,,,,2,,3,5,2,
シギ科,,,,1,1,,,,,,,,,,,,,,,,,,,,,
ハクチョウ類 【1】,,,,,,,,,,,,,,,,4,,,,,,,,,,
