調査年月日,2024/10/12,2024/10/26,2024/11/5,2024/11/23,2024/12/7,2024/12/28,2025/1/7,2025/1/26,2025/2/9,2025/2/24,2025/3/9,2025/3/20
ヒシクイ 【1】,,,,1,,,,,,,,
トモエガモ 【2】,,,,1,12,3,,,,,,
オカヨシガモ 【3】,,,,3,4,3,6,4,2,4,3,4
ヨシガモ 【3】,,,,,,9,2,,,,,
ヒドリガモ 【1】,,,20,22,25,25,51,34,141,75,81,22
カルガモ 【3】,40,34,80,73,56,77,21,20,10,40,29,59
マガモ 【2】,,23,86,123,36,73,71,76,65,93,183,96
オナガガモ 【2】,,2,,20,73,1571,869,363,1116,1989,250,2
コガモ 【3】,46,19,43,63,48,167,71,69,68,58,48,14
ホシハジロ 【2】,2,198,183,456,514,693,515,489,636,596,133,39
キンクロハジロ 【1】,,7,10,1,1,,12,2,3,1,,5
スズガモ 【2】,,,,,1,1,3,,,1,,
ミコアイサ 【3】,,,,,,,,1,,,,
クイナ,,,1,,,,,,,,,
オオバン 【2】,5,52,92,125,117,138,105,180,84,177,149,139
カイツブリ 【1】,,,,7,3,1,,1,1,,2,
カンムリカイツブリ 【1】,,2,12,16,18,14,15,13,15,6,5,8
ハジロカイツブリ,,1,,3,,,1,,,,,
