調査年月日,2024/9/5,2024/9/14,2024/9/30,2024/10/1,2024/10/12,2024/10/27,2024/11/2,2024/11/18,2024/11/26,2024/12/8,2024/12/9,2024/12/14,2024/12/28,2025/1/11,2025/1/22,2025/1/26,2025/2/8,2025/2/18,2025/2/24,2025/3/9,2025/3/15,2025/3/25,2025/4/6,2025/4/19,2025/4/26,2025/5/6,2025/5/18
(亜種)ヒシクイ 【1】,,,,65,,,,,,,,,,,,,,,,,,,,,,,
オオハクチョウ 【1】,,,,,37,79,106,39,78,41,13,54,18,29,42,41,31,22,126,76,91,59,33,1,,,
ハシビロガモ 【3】,,,8,17,,13,22,,,,,,,,,,,,,,,,,,,,
ヨシガモ 【3】,,,19,21,16,20,17,,29,,,,,,,,,,,,,,12,,,,
ヒドリガモ 【1】,,,,,,,23,31,242,,,,,,,,,,,16,,,129,206,16,,
マガモ 【2】,,6,13,33,,24,30,8,23,11,,,4,,,,,6,14,9,8,21,23,9,,,
オナガガモ 【2】,,47,208,323,24,360,284,103,296,,,,,,,,,,,,63,90,175,172,,,
コガモ 【3】,8,42,84,401,118,236,246,26,119,,,,,,,3,,,,,29,47,87,288,108,22,
キンクロハジロ 【1】,,,,,,73,18,,118,27,,56,,,,,11,,3,23,17,36,51,121,162,37,
スズガモ 【2】,,,,,,,,12,23,,,,,,,,,,,,,,,13,,,
カワアイサ 【3】,,,,,,,,,,,,,,,,,,,,,,,,8,8,,6
ウミアイサ 【3】,,,,,,,,9,22,8,,6,4,36,19,8,19,9,6,22,16,16,,22,,14,4
タンチョウ 【3】,8,5,2,6,8,2,2,4,,2,,,,,,,,4,5,6,,5,4,4,3,2,3
カイツブリ 【1】,,,,,,4,,,,,,,,,,,,,,,,,,,,,
タシギ,,4,6,8,,8,,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,124,59,60,75,34,46,,,,,,,,,,,,,,,,,,,,27,44
オオワシ 【2】,,,,,,,,,1,,2,6,2,3,6,4,11,1,,2,,,,,,,
オジロワシ 【2】,,1,,,,,,,,1,,4,10,11,12,6,27,3,,8,,,,,,,
ノスリ 【2】,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
