調査年月日,2024/9/4,2024/9/18,2024/9/26,2024/10/9,2024/10/18,2024/10/21,2024/11/8,2024/11/18,2024/11/25,2024/12/2,2024/12/11,2024/12/25,2025/1/7,2025/1/15,2025/1/21,2025/2/10,2025/2/14,2025/2/25,2025/3/10,2025/3/18,2025/3/24,2025/4/4,2025/4/16,2025/4/28,2025/5/1,2025/5/13
コブハクチョウ 【1】,5,13,,5,,3,,,,,,,,,,,,,,,1,,,,,
ハシビロガモ 【3】,,,,,,,,,,,15,8,,8,4,,,4,,6,,,,,,
オカヨシガモ 【3】,,,,,5,,,,,,,,,,,,,,,,,,,,,
ヒドリガモ 【1】,,,,,17,37,18,28,,25,,7,,15,28,6,4,3,12,16,6,8,,,,
カルガモ 【3】,25,21,12,18,18,42,48,30,35,56,25,35,6,29,18,17,18,37,18,9,12,14,15,7,2,2
マガモ 【2】,,,,,,15,4,,18,30,18,21,,17,12,14,7,15,3,6,3,,,,,
オナガガモ 【2】,,,,,,,3,6,24,7,,,,,6,,6,,,,,,,,,
ホシハジロ 【2】,,,,,16,23,50,36,5,36,36,15,18,49,27,,5,38,5,12,,4,,,,
キンクロハジロ 【1】,,,213,27,150,300,700,420,654,1037,597,633,150,360,370,301,357,408,128,108,172,248,221,118,15,6
スズガモ 【2】,,,,,70,120,500,300,105,634,52,208,45,86,35,13,124,47,35,23,37,88,37,,,
ホオジロガモ 【3】,,,,,,,,,4,,10,18,,,2,12,5,20,2,5,,,,,,
オオバン 【2】,,,,10,220,130,350,130,243,200,248,315,15,46,64,13,29,10,43,26,27,25,2,16,7,
カイツブリ 【1】,,,,,,,,,,,,,,,,1,,2,,,,,,,,
カンムリカイツブリ 【1】,,,,,,4,88,14,8,78,28,45,,2,5,5,5,6,1,4,,1,1,2,,
ハジロカイツブリ,,,,,,,7,5,2,13,,,,3,2,2,4,,4,6,4,,,,,
ウミネコ 【3】,22,10,15,20,,,1,,1,,,,,,,,,,,,,,,,,
セグロカモメ 【3】,,,,,8,4,15,5,,,2,,,,,,3,,,,,,,,,
カワウ 【3】,39,15,31,33,15,8,24,8,53,13,15,23,3,8,4,11,8,6,5,3,5,27,,3,8,14
アオサギ 【3】,1,,2,2,1,,,,,,,,,,,,,,4,,,,,,,
ダイサギ,1,,,1,,2,,,,,,,,,,,,,,,,,,,,
チュウサギ,,,,,,,,,,,,,,,,,,,,,,1,,,,
コサギ,,1,,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,,,,,,,,,,,,,,,,,,,,,,1,,1,,1
トビ 【3】,1,,,,,,,,,,,,,,,,,,,,,,,,,
サギ科,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
カモメ科 【3】,,,3,,,10,4,6,1,8,,5,,14,3,3,2,20,1,,2,19,,,,
カモ類,12,8,35,20,1000,1200,1500,800,1500,7000,7300,13000,800,2400,14000,450,4590,6704,650,800,250,950,363,94,108,190
