調査年月日,2024/10/13,2024/10/27,2024/11/3,2024/11/17,2024/12/7,2024/12/28,2025/1/5,2025/1/24,2025/2/11,2025/2/21,2025/3/6,2025/3/22
トモエガモ 【2】,,,,,16,2,13,3,,,,
シマアジ 【3】,2,,,,,,,,,,,
ハシビロガモ 【3】,2,2,,2,22,48,76,28,34,39,102,
オカヨシガモ 【3】,,2,11,,2,7,2,2,8,2,,3
ヨシガモ 【3】,,,,,3,,5,4,3,8,5,
ヒドリガモ 【1】,,27,9,12,2,,1,,,4,28,
カルガモ 【3】,4,1,23,21,6,5,16,55,5,2,16,2
マガモ 【2】,4,149,667,1852,1017,561,1773,2238,1224,509,2117,8
オナガガモ 【2】,1,2,25,7,,,9,2,18,,77,
コガモ 【3】,47,12,48,18,6,41,19,25,22,30,74,54
ホシハジロ 【2】,,,2,,,,1,,,,,
キンクロハジロ 【1】,,,2,,,,,,,,,1
スズガモ 【2】,,1,2,,,,,,,,,
クイナ,,,,,,,,,,1,,
バン,2,,,,,,,3,3,5,1,2
オオバン 【2】,18,27,53,41,33,129,118,126,95,117,94,66
ヒクイナ,,,,,,,,1,2,2,,1
カイツブリ 【1】,,8,5,12,6,14,34,16,15,5,8,4
カンムリカイツブリ 【1】,,,,4,5,20,11,11,3,2,1,2
ハジロカイツブリ,,,,,3,,,,,,,
タシギ,,,,,,,,1,1,1,,
クロハラアジサシ,2,,,,,,,,,,,
カワウ 【3】,3,3,2,3,3,4,6,5,6,6,5,5
サンカノゴイ,,,,,,1,,,,,,
アオサギ 【3】,1,,,1,2,2,1,1,1,1,,4
ダイサギ,2,,2,1,2,4,2,2,3,2,2,3
コサギ,,,,1,,3,1,,1,,,
ミサゴ 【3】,1,,,1,,1,1,2,1,2,1,
トビ 【3】,1,,1,,,1,,1,,1,1,
ノスリ 【2】,,,,,,1,,,,1,,
カワセミ,2,2,1,,2,1,1,2,3,5,1,2
ハシボソガラス,,,,,,,2,,,,,
ハシブトガラス,,,1,,,,,,,,,
ツバメ,,,,,64,,,,,,,
キセキレイ,,,,,1,,,1,,,,
ハクセキレイ,,,,,,,,,1,,,
