調査年月日,2024/9/5,2024/9/12,2024/9/30,2024/10/3,2024/10/17,2024/10/24,2024/11/7,2024/11/14,2024/11/21,2024/12/5,2024/12/12,2024/12/26,2025/1/9,2025/1/16,2025/1/23,2025/2/6,2025/2/13,2025/2/20,2025/3/6,2025/3/13,2025/3/20,2025/4/10,2025/4/17,2025/4/24
オシドリ 【1】,,,,,21,11,,9,7,,,,,5,,,,4,10,,10,,,
トモエガモ 【2】,,,,,,,,,,,,,,,,,2,,,,,,,
ヒドリガモ 【1】,,,,,29,147,437,508,481,667,646,697,714,763,756,636,878,345,507,525,324,,,
カルガモ 【3】,,,,,75,194,400,247,303,288,628,522,521,264,286,372,284,143,220,287,76,1,,
マガモ 【2】,,,,,28,82,346,476,503,478,1370,1325,1132,705,612,396,813,698,906,45,122,,,
オナガガモ 【2】,,,,,9,10,5,40,28,51,142,199,59,95,179,42,58,45,110,32,12,,,
コガモ 【3】,,,,,,,,25,15,,21,32,27,37,18,,38,24,25,13,1,,,
ホシハジロ 【2】,,,,,,,,4,20,,3,13,4,2,,,,,,,,,,
キンクロハジロ 【1】,,,,,,,2,6,39,15,7,18,13,6,,,2,2,2,3,,1,,1
オオバン 【2】,,,,,,,24,23,18,3,10,10,6,3,2,8,4,2,1,,,,,
カイツブリ 【1】,,,,,2,,1,1,,,4,,,1,1,,,,1,1,,,2,
カンムリカイツブリ 【1】,,,,,,,,,,,,,,,,,,,,,2,,,
ミミカイツブリ,,,,,,,,,,,1,,,,,,,,,,,,,
ハジロカイツブリ,,,,,,,,,,,,,,,,1,,,,,,,,
カワウ 【3】,,,,,1,3,,1,4,10,4,7,8,6,,7,14,10,1,6,6,2,2,1
アオサギ 【3】,,,,,,,,,,,,,,,,,,,1,,,,,
トビ 【3】,,1,,1,,,,,,,,,,,,2,2,,,,,1,,
