調査年月日,2024/9/4,2024/9/12,2024/9/24,2024/10/1,2024/10/11,2024/10/22,2024/11/1,2024/11/11,2024/11/21,2024/12/2,2024/12/13,2024/12/24,2025/1/8,2025/1/16,2025/1/24,2025/2/3,2025/2/12,2025/2/25,2025/3/3,2025/3/12,2025/3/21,2025/4/1,2025/4/17,2025/4/22,2025/5/1
(亜種)オオヒシクイ 【1】,,,,,20,,,,,,,36,,77,4,,196,5,,1,,,,,
マガン 【1】,,,,,6,7,,,,,2,,,3,,,79,495,,,,,,,
コハクチョウ 【1】,,,,,206,3778,2860,2382,2540,2057,1172,686,369,1252,466,219,484,304,145,85,91,,,,
オオハクチョウ 【1】,,,,,,12,11,12,28,8,22,13,,21,9,4,28,11,,,,,,,
オシドリ 【1】,9,8,5,,11,9,9,,2,,,,,,,,,2,2,7,9,14,4,,
トモエガモ 【2】,,,,,,11,9,126,444,1102,1366,172,144,12,9,10,,6,109,127,33,,,,
ハシビロガモ 【3】,,,15,20,12,32,13,15,11,11,21,15,18,5,5,5,18,36,21,21,37,47,21,27,19
オカヨシガモ 【3】,,,,,,,,,,3,3,,,,,,,,,11,,8,,,
ヨシガモ 【3】,,,,,,,,6,4,3,8,,4,,3,,,4,,10,5,14,4,4,4
ヒドリガモ 【1】,,5,893,157,275,511,213,427,508,217,424,215,521,,247,33,42,15,27,44,67,31,39,9,
カルガモ 【3】,24,24,29,12,48,25,69,59,54,43,104,112,86,,43,13,103,116,103,111,77,38,35,27,24
マガモ 【2】,6,16,670,265,167,2703,599,1458,1744,2197,3800,3550,8200,5700,7700,5180,3700,3256,5300,2800,2656,826,21,19,4
オナガガモ 【2】,35,57,2266,400,760,2870,748,483,1411,2286,1906,224,4600,11,1431,1748,154,5,6550,218,47,2,,,
コガモ 【3】,51,227,9300,4050,2616,2750,998,1059,878,1201,1108,911,2555,161,1975,647,164,312,481,188,161,256,150,146,142
ホシハジロ 【2】,,,8,4,15,74,76,49,57,97,54,17,19,25,35,37,38,33,27,67,67,54,11,9,13
キンクロハジロ 【1】,,,6,,5,9,10,,10,6,,,5,,,,2,5,3,6,6,18,19,,8
ミコアイサ 【3】,,,,,,,,1,14,24,18,17,9,12,30,27,30,44,39,32,11,9,,,
カワアイサ 【3】,,,,,,,,1,,2,2,4,8,3,2,3,4,5,3,3,,,,,
バン,7,6,4,3,,,,,,,,,,,,,,,,,,,,,2
オオバン 【2】,,,16,12,48,70,98,31,37,39,29,17,17,19,14,18,15,13,,19,21,14,16,15,7
カイツブリ 【1】,14,12,9,10,10,8,7,6,9,10,10,2,4,2,2,,4,4,5,6,4,8,8,6,6
カンムリカイツブリ 【1】,16,18,13,12,15,12,10,11,20,24,16,4,3,,,,,,2,7,5,8,10,6,8
ハジロカイツブリ,,,,,,,,,,2,,,,,,,,,,,,,,,
カワウ 【3】,,,2,2,13,22,43,51,133,37,25,45,20,14,22,27,18,18,29,16,22,21,24,8,31
アオサギ 【3】,20,12,5,6,3,2,2,4,4,2,2,1,2,3,9,6,4,7,8,6,18,4,3,4,6
ダイサギ,34,27,11,6,4,2,1,4,4,3,2,1,2,2,5,4,4,5,5,5,3,2,2,2,2
(亜種)チュウダイサギ,8,14,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,2,1,1,1,,,,,,,,,,,,,,,,,1,2,2,2,3
クマタカ 【2】,,,,,,,,,,,,,,,,,,1,,,,,,,
オオタカ 【1】,1,1,1,1,2,1,,1,,1,1,1,,1,1,1,1,,1,1,1,,,,
トビ 【3】,3,1,1,2,1,3,2,1,2,2,2,3,1,2,1,2,3,2,4,2,1,3,3,2,2
オオワシ 【2】,,,,,,,,,,,1,1,,,1,1,,,,,,,,,
オジロワシ 【2】,,,,,,,,,,,1,,,,,1,,,,,,,,,
ノスリ 【2】,,,,,,1,,1,,,1,,,,,1,2,2,,,,,1,,
