調査年月日,2024/9/3,2024/9/17,2024/9/30,2024/10/5,2024/10/15,2024/10/31,2024/11/9,2024/11/20,2024/11/30,2024/12/7,2024/12/17,2024/12/30,2025/1/10,2025/1/20,2025/1/31,2025/2/9,2025/2/20,2025/2/28,2025/3/10,2025/3/19,2025/3/30,2025/4/4,2025/4/18,2025/4/30
オオハクチョウ 【1】,,,,,,,,,,,,6,6,4,2,4,,12,,,,,,
オシドリ 【1】,5,18,6,,,4,4,,,5,,2,,,2,3,,,,6,5,17,17,22
ヒドリガモ 【1】,,,,,,,,,,,,,,,,,2,,,28,18,30,18,8
カルガモ 【3】,4,6,3,5,7,12,15,4,8,10,3,8,12,5,3,6,10,5,5,12,4,8,16,7
マガモ 【2】,,3,,12,22,45,14,7,34,128,156,66,68,85,72,52,87,183,244,67,56,23,22,2
ホシハジロ 【2】,,,,4,16,48,27,18,68,132,168,85,126,128,110,95,83,56,180,68,52,46,12,
キンクロハジロ 【1】,,,,,25,22,11,,12,34,34,13,14,34,18,20,11,,24,4,16,8,,
スズガモ 【2】,,,,,,3,35,,,8,,,,,,,,,,,,,,
ホオジロガモ 【3】,,,,,,,,,,5,,2,3,3,3,3,2,16,10,9,7,6,2,1
ミコアイサ 【3】,,,,,,,,,,,,2,2,,2,,,,,,,,,
カワアイサ 【3】,,,,,,,,7,7,3,,2,6,3,,3,,4,,1,,2,,
オオバン 【2】,,,,,,232,368,86,228,77,740,585,610,285,474,580,148,215,890,980,620,580,21,6
カイツブリ 【1】,,,,,,,,,,,,,,,,,1,,,,,,,
カンムリカイツブリ 【1】,2,,,2,17,6,5,4,29,20,5,10,4,6,4,9,1,74,63,54,59,35,48,45
ミミカイツブリ,,,,,,,92,11,15,53,52,57,,6,,14,,,10,16,11,8,,
ハジロカイツブリ,,,,,,2,,2,,3,4,,10,4,5,5,2,3,,12,6,5,3,2
イソシギ,1,,2,1,,1,,,,,,,,,,,,,,,,,,
カワウ 【3】,,,4,4,5,2,7,,11,2,,1,6,,2,4,,,,7,8,5,2,14
アオサギ 【3】,2,2,,,1,,,,,,,,,,,,,,,,,,3,3
ダイサギ,,1,,1,1,,,,,,1,,,,,,,,,,,,1,1
チュウサギ,1,,,,,,,,,,,,,,,,,,,,,,,
ミサゴ 【3】,,,,1,,,,,,,,,,,,,,,,,,,,
クマタカ 【2】,,,,,1,,,,,,,1,2,2,,1,2,1,,,,,,
トビ 【3】,1,5,4,4,5,4,3,5,2,4,,5,5,2,3,1,1,2,3,2,2,1,4,5
オジロワシ 【2】,,,,,,,,,1,,,,,,,,,,,,,,,
ノスリ 【2】,,,,,,,,,,,,,,,,,,,,,,,,1
カモメ科 【3】,,,,,,,2,2,,,,,,,,,,,,1,,,,
カモ類,,,,,,,,,,,1,,,,,,,,,,,,,
