調査年月日,2024/10/5,2024/10/19,2024/11/4,2024/11/16,2024/12/4,2024/12/21,2025/1/3,2025/1/18,2025/2/1,2025/2/15,2025/3/2,2025/3/20
ハイイロガン 【3】,,,,,4,5,4,,,,,
ヒシクイ 【1】,,,,,,2,,,,,,
マガン 【1】,,,,,,1,,,,,,
ツクシガモ,,,,,,18,24,39,21,,41,
トモエガモ 【2】,,,,,83,,,,,,,
シマアジ 【3】,,7,,,,,,,,,,
ハシビロガモ 【3】,,,7,14,25,22,8,28,20,15,12,12
オカヨシガモ 【3】,,,,,2,2,,,,28,,2
ヨシガモ 【3】,,,,4,4,2,,,,,,
ヒドリガモ 【1】,,,17,220,244,293,135,140,216,136,118,280
アメリカヒドリ 【3】,,,,,385,,2,,,,,
カルガモ 【3】,3,68,47,279,355,523,255,244,180,198,235,425
マガモ 【2】,,10,26,171,355,305,175,148,260,171,340,376
オナガガモ 【2】,,,,18,62,102,165,176,135,215,79,21
コガモ 【3】,,25,23,47,54,165,184,135,185,121,45,55
ホシハジロ 【2】,,,2,10,8,40,32,33,25,25,47,32
キンクロハジロ 【1】,,,,16,14,26,24,14,6,6,14,16
スズガモ 【2】,,,,,2,2,,,1,,2,2
ウミアイサ 【3】,,,,,,,,,,,1,
キジ,,1,,,,,,,,,,
キジバト,5,4,4,7,4,40,10,10,7,10,4,15
バン,,,1,,,,1,1,7,,,1
オオバン 【2】,,5,3,62,30,33,35,37,32,29,24,31
カイツブリ 【1】,,,,5,6,6,4,2,4,1,2,2
カンムリカイツブリ 【1】,,,,1,5,4,4,4,,5,8,1
ハジロカイツブリ,,,,,,,,,,,1,
タゲリ,,,,2,28,6,5,6,2,12,14,
メダイチドリ,2,,,,,,,,,,,
ミユビシギ,4,,,,,,,,,,,
ハマシギ,,,,,15,35,15,31,29,40,,
タシギ,,,2,,1,2,3,1,1,1,,
イソシギ,3,2,2,1,2,2,2,2,2,4,3,2
クサシギ,,,,,1,1,1,,,,,
ユリカモメ 【1】,,,,,,,1,,,,,
ウミネコ 【3】,,,,,,,1,,,,,
セグロカモメ 【3】,2,2,2,2,8,4,6,14,3,4,2,2
オオセグロカモメ 【3】,,,,,,,,2,,,,
クロハラアジサシ,4,,1,1,,,,,,,,
カワウ 【3】,8,4,5,212,75,45,45,45,25,226,22,22
ヘラサギ,,,,3,5,5,,2,,,1,2
クロツラヘラサギ,,2,2,16,24,28,7,21,11,2,19,28
アマサギ,4,,,,,,,,,,,
アオサギ 【3】,25,11,16,12,23,27,21,25,24,16,15,11
ダイサギ,18,15,20,11,7,9,5,7,4,4,10,8
コサギ,8,5,3,4,16,3,4,4,3,2,3,3
ミサゴ 【3】,1,2,1,1,3,4,3,2,1,2,2,1
オオタカ 【1】,,,,,,1,,,,,,
トビ 【3】,3,32,22,13,31,32,27,33,27,7,18,8
ノスリ 【2】,,,,,,,1,,,,1,
カワセミ,1,1,1,2,2,1,2,2,1,,1,
チョウゲンボウ 【3】,,1,,1,1,1,1,1,,,1,
ハヤブサ 【1】,,,,,1,1,,,,,,
モズ,1,2,1,2,2,2,4,2,1,2,2,1
ミヤマガラス,,,,,,,,,,,65,
ハシボソガラス,2,4,2,,,5,5,,2,4,6,2
ハシブトガラス,4,,4,8,6,25,14,7,9,14,2,4
シジュウカラ,4,2,,1,,,,,,,,
ヒバリ,,,,,,,,,,2,1,
ヒヨドリ,4,70,34,47,26,30,15,25,2,14,4,7
ショウドウツバメ,,,2,,,,,,,,,
ツバメ,28,14,42,22,26,25,32,18,,15,23,18
ウグイス,,,1,1,1,2,1,1,,1,1,1
メジロ,,,4,,6,47,16,10,,4,6,10
ギンムクドリ,,,,,,,,,,2,,
ムクドリ,3,20,2,14,6,25,4,,25,4,19,3
ホシムクドリ,,,,,,,,,4,,,
シロハラ,,,,,2,3,3,,2,2,2,2
ツグミ,,,,,,,1,,1,1,2,1
ジョウビタキ,,1,3,3,3,3,3,2,3,3,3,2
イソヒヨドリ,1,1,11,,1,,1,,,,,
スズメ,22,6,22,42,12,20,29,35,4,12,15,17
キセキレイ,1,1,1,1,,1,1,1,,1,1,
ハクセキレイ,3,5,2,4,8,6,4,4,3,6,8,4
セグロセキレイ,,,,,,,,,,,1,
タヒバリ,,,,,,,,,,1,1,
カワラヒワ,,,4,4,13,,12,12,7,4,7,7
ホオジロ,5,,,1,,1,,3,3,4,2,5
アオジ,1,,,,,,1,2,3,2,3,4
オオジュリン,,,,,,,2,,,18,2,
ドバト,,,,2,4,5,2,,,1,,
ガビチョウ,,,1,,,,,,,,,
