調査年月日,2024/9/8,2024/9/17,2024/9/24,2024/10/6,2024/10/13,2024/10/27,2024/11/3,2024/11/16,2024/11/24,2024/12/8,2024/12/15,2024/12/22,2025/1/5,2025/1/15,2025/1/26,2025/2/2,2025/2/16,2025/2/23,2025/3/2,2025/3/16,2025/3/23,2025/4/6,2025/4/17,2025/4/27,2025/5/4,2025/5/15
ヒシクイ 【1】,,,,,480,,,,,,,,,,,,,,,,,,,,,
(亜種)ヒシクイ 【1】,,,,,,,,,,,,,,,,,,,9,270,1,,,,,
オオハクチョウ 【1】,,,,,,2,19,23,7,49,54,27,42,41,12,23,83,13,43,28,9,8,2,33,,
ツクシガモ,,,,,,,,,,1,,,1,,,,,,,,,,,,,
ヒドリガモ 【1】,,,,,,,,,,,,,,,,,,,,8,,50,29,14,150,35
マガモ 【2】,69,73,82,95,20,34,18,2,69,66,66,5,15,,2,108,48,,10,38,5,15,,32,,
オナガガモ 【2】,,,,,,,,,,,,,,,,,,,2,110,200,500,300,33,8,
コガモ 【3】,,,5,,,,,,,,,,,,,,,,,,,,5,,,2
スズガモ 【2】,,,,,,,,,3,,,,,,,,,,,,,30,,,600,
カワアイサ 【3】,,,,,6,,5,,,,,56,8,22,,23,4,11,,3,3,3,18,,,
ウミアイサ 【3】,,,,,,4,6,,,1,,,,,,,,,,,,,5,2,2,3
タンチョウ 【3】,,,,3,3,7,3,,,2,,,,,,,,,,2,,,,1,1,
キアシシギ,5,10,,,,,,,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,28,,,,,,,,,,,,,,,,,,,200,,300,,,
セグロカモメ 【3】,,,,1,,,,,,,,,,,,,,,,,,,,,,
オオセグロカモメ 【3】,,1,1,,2,,,,,,,,1,2,,,,1,2,1,6,,12,,,
カワウ 【3】,154,112,109,210,45,26,2,,,,,,,,,,,,,,2,3,,,6,14
アオサギ 【3】,9,26,18,26,28,38,,,,,,,,,,,,,,15,49,49,51,25,15,45
ダイサギ,2,27,11,9,,,,,,,,,,,,,,,,,,,,,,
ハイタカ,,,,,,,,,,,,,,1,,,,,,,,,,,,
トビ 【3】,,1,,,,1,4,1,1,,,,,,,,,,,1,1,2,4,1,,
オオワシ 【2】,,,,,,,,,2,1,2,,1,,5,1,1,1,,1,,2,,,,
オジロワシ 【2】,,,,,6,,1,3,2,1,,1,,1,1,,,2,,2,1,3,1,4,5,
シギ科,,,4,,,,,,,,,,,,,,,,,,,,,1,3,3
カモメ科 【3】,14,,,300,70,30,300,160,15,1,,1,,,1,,,,,2,,50,,1,2,3
カモ類,,,,300,1000,100,90,60,40,63,35,67,7,6,9,189,3,50,9,200,2,1900,100,50,500,17
シギチドリ類,1,,,14,,,,,,,,,,,,,,,,,,,,,,
