調査年月日,2024/10/7,2024/10/21,2024/11/7,2024/11/21,2024/12/5,2024/12/20,2025/1/7,2025/1/20,2025/2/3,2025/2/20,2025/3/11,2025/3/25
トモエガモ 【2】,,,,,2,,,,,,,
シマアジ 【3】,,,,,,,,,,,,1
ハシビロガモ 【3】,7,9,8,3,,1,6,18,15,79,116,202
オカヨシガモ 【3】,,1,,,,,,,2,,3,
ヒドリガモ 【1】,25,58,35,104,166,140,107,171,151,169,160,107
アメリカヒドリ 【3】,,,,,1,1,,,1,1,1,
カルガモ 【3】,13,25,42,6,,18,116,97,89,98,76,25
マガモ 【2】,2,2,13,,3,,11,30,39,39,38,5
オナガガモ 【2】,4,11,57,69,108,86,57,47,49,96,62,22
コガモ 【3】,129,86,98,35,62,79,115,152,141,158,162,146
ホシハジロ 【2】,,1,,,,,3,10,6,3,12,7
キンクロハジロ 【1】,,4,,,,1,4,27,36,67,84,50
ミコアイサ 【3】,,,,,,,,,3,1,,
バン,3,,,,,,,,,,,4
オオバン 【2】,,,,,,1,,,,,,5
カイツブリ 【1】,10,3,2,1,2,3,,4,2,1,12,27
カワウ 【3】,,,,,,,31,,,,,
