調査年月日,2024/10/1,2024/10/23,2024/11/4,2024/11/21,2024/12/4,2024/12/26,2025/1/3,2025/1/25,2025/2/5,2025/2/22,2025/3/5,2025/3/24
ツクシガモ,,,,,,2,,,2,,,
ハシビロガモ 【3】,,,,,,,,,2,,,
オカヨシガモ 【3】,,,1,48,46,80,10,42,115,38,43,85
ヨシガモ 【3】,,,18,30,3,24,,,19,3,8,1
ヒドリガモ 【1】,4,25,136,65,16,47,27,55,174,196,124,1155
アメリカヒドリ 【3】,,,,,,,,,1,,,1
カルガモ 【3】,,27,65,20,62,30,39,1,18,44,20,25
マガモ 【2】,12,171,535,350,460,256,235,416,51,74,72,115
オナガガモ 【2】,,1,400,837,1213,14,40,11,6,,6,12
コガモ 【3】,,,,,,,2,,,,,
ホシハジロ 【2】,,6,43,235,88,59,10,,,4,68,86
キンクロハジロ 【1】,,3,,4,2,3,6,,,,2,11
スズガモ 【2】,,612,1804,2133,814,2431,360,558,657,575,281,2516
ホオジロガモ 【3】,,,,2,10,32,38,10,8,23,16,11
ウミアイサ 【3】,,,,20,1,8,12,2,7,17,47,13
キジ,,1,,,,,,,,,,
キジバト,,3,,,1,1,,,,,,
オオバン 【2】,,,,,6,12,10,9,2,6,1,7
カイツブリ 【1】,,,,,,,,,2,2,2,1
カンムリカイツブリ 【1】,,1,4,119,2,,,,2,1,1,4
ハジロカイツブリ,,,,2,13,3,5,5,5,6,10,5
ミヤコドリ,,,,,4,,112,37,161,182,53,
ダイゼン,,,,,,1,2,,,,,
シロチドリ,,,,,,,7,3,2,,5,1
ミユビシギ,72,,1,,1,1,1,,2,,,4
ハマシギ,,,,,,,5,1,,,51,20
ユリカモメ 【1】,,11,199,335,6,21,33,,2,339,406,265
ズグロカモメ 【3】,,,,,4,4,13,1,7,4,7,1
ウミネコ 【3】,59,30,9,,1,,,,,,,3
カモメ 【3】,,,,,,,1,,1,8,51,7
セグロカモメ 【3】,,3,11,44,9,1,23,5,5,7,13,24
オオセグロカモメ 【3】,,,1,,,,1,,,,,
オオアジサシ,,15,,,,,,,,,,
オオミズナギドリ,,65,,,,,,,,,,
ウミウ,,,,,,,,,,,,1
カワウ 【3】,33,15,1070,236,28,24,291,33,8,248,32,160
アオサギ 【3】,13,1,1,,2,1,1,,,15,7,7
ダイサギ,6,4,2,,,,,1,1,,,9
コサギ,3,1,,,,1,3,,,1,4,4
ミサゴ 【3】,2,4,3,,3,3,2,,,3,1,
オオタカ 【1】,,,,,,,1,,,,,
トビ 【3】,5,7,1,7,2,8,1,3,2,4,6,4
ノスリ 【2】,,,,,,,,,1,,,
チョウゲンボウ 【3】,,,,,1,,,,,,,
モズ,,1,1,,,,1,1,,,,1
ハシボソガラス,34,19,3,28,13,12,4,2,5,6,16,12
ハシブトガラス,1,,,,,,,,,,1,
ヒバリ,,,,,,,,,,,1,3
ヒヨドリ,,,2,2,6,3,4,3,1,,,6
ツバメ,3,,,,,,,,,,,1
ウグイス,,,,,,,,,,,,1
メジロ,,,1,,,,,,,,,
ムクドリ,,,,,,,,,,,,4
ツグミ,,,,,,,,,1,2,2,2
ジョウビタキ,,,,,,,1,,,,1,
イソヒヨドリ,,1,1,,2,,1,1,,,,
スズメ,,,,,,,6,,2,7,10,1
ハクセキレイ,,,3,,2,1,5,3,6,3,1,2
カワラヒワ,,14,,,,,,,9,,,
ホオジロ,,2,2,,,,,,1,,1,1
ドバト,7,2,9,12,,,,,,2,1,6
