調査年月日,2024/9/6,2024/9/13,2024/9/27,2024/10/4,2024/10/11,2024/10/25,2024/11/1,2024/11/15,2024/11/29,2024/12/6,2024/12/13,2024/12/27,2025/1/3,2025/1/12,2025/1/24,2025/2/7,2025/2/14,2025/2/21,2025/3/7,2025/3/14,2025/3/21,2025/4/5,2025/4/18,2025/4/25,2025/5/2,2025/5/14
(亜種)オオヒシクイ 【1】,,,,,,,,,,,,,,5,,,,1,,,,,,,,
マガン 【1】,,,,,,,1,4,,,,19,,4,3,,60,,,,,,,,,
コハクチョウ 【1】,,,,,26,3806,4529,7644,5414,6120,3958,3173,3791,3814,2840,3312,4775,3359,2,,,,,,,
(亜種)アメリカコハクチョウ 【1】,,,,,,,,4,,,,,,4,,,3,,,,,,,,,
オオハクチョウ 【1】,,,,,,2,46,39,7,53,80,223,256,125,287,2,7,51,,,,,,,,
オシドリ 【1】,,,,1,,,,,,,,,,,,,,,,,,,,,,
トモエガモ 【2】,,,,,,,,108,404,,5,17,,43,39,3,12,57,8,,2,,,,,
ハシビロガモ 【3】,,,,,4,5,6,30,9,,7,2,,20,10,,,11,8,,2,32,11,6,,
オカヨシガモ 【3】,,,,,,,,,2,,,7,,12,15,,,,,,,5,3,,,
ヨシガモ 【3】,,,,,,,,2,1,,,1,,1,,,,,,6,2,,,,,3
ヒドリガモ 【1】,,,30,30,5,,,74,18,4,4,10,,7,17,,5,6,2,,,6,,,,
カルガモ 【3】,2,7,65,8,65,4,1,13,6,,12,1,,9,12,,9,3,2,7,14,30,1,2,3,
マガモ 【2】,,,10,20,10,708,2266,8846,14182,17770,6480,7157,2460,8321,7270,7160,4400,6894,4723,7092,1968,302,14,,,9
オナガガモ 【2】,,,,14,12,9,25,192,283,30,41,41,150,114,232,300,166,715,50,,,,,,,
コガモ 【3】,,31,1793,63,1793,46,131,50,557,400,190,1341,300,1376,3540,180,70,1146,304,5,50,54,12,14,31,
ホシハジロ 【2】,,,,,,32,,7,2,2,,,,,,,,,2,2,,6,4,1,,
キンクロハジロ 【1】,,,,,1,23,3,6,,,,,,,,,,,,,,,2,,,
スズガモ 【2】,,,,,,,,1,,,,,,,,,,,,,,,,,,
ミコアイサ 【3】,,,,,,,,8,2,3,4,3,2,12,4,2,9,9,25,19,12,,,,,
カワアイサ 【3】,,,,,,,,,,,,,,,,,,,,1,,,,,,
オオバン 【2】,,,,,,1,6,13,2,,2,2,,1,6,,3,3,,1,5,3,7,3,2,2
カイツブリ 【1】,,,,,,1,,2,,,1,1,,1,,,1,1,,1,,1,,,1,1
カンムリカイツブリ 【1】,7,3,4,,,2,9,27,18,20,6,1,1,7,3,,3,7,6,10,10,7,14,6,5,7
ハジロカイツブリ,,,,,,,1,13,,,,2,,,1,,,,,,1,,,,,
タシギ,,,,,,,,,,,,,,,,4,,,,,,,,,,
イソシギ,,,,1,,,,,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,,,,,,,,,,,1,,,,,,,,
カワウ 【3】,2,1,,14,18,18,77,30,15,10,11,28,18,17,16,1,30,34,15,8,12,1,1,1,1,
ヘラサギ,,,,,,1,,,,,,,,,,,,,,,,,,,,
ゴイサギ,,2,1,3,,,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,12,49,13,9,8,4,2,5,1,,2,2,1,1,1,2,1,6,3,2,3,8,2,2,1,11
ダイサギ,12,36,42,38,16,14,1,4,2,3,2,2,2,4,4,1,3,5,13,6,15,6,2,2,1,2
チュウサギ,,1,,,,,,,,,,,,,,,,,,,,,,,,
コサギ,,,2,1,,,,,,,,1,,,,,,1,,,,,,,,
ミサゴ 【3】,,,1,,,,,,,,,,,,,,,,,,1,,,,,
チュウヒ,,,,,,,,,1,,,,,,,,,,,,,,,,,
ハイイロチュウヒ 【3】,,,,,,,,,,,,,,,,,,,,,1,,,,,
トビ 【3】,1,1,2,1,1,1,1,1,1,,,,,,2,,3,,,,3,2,,,,
ノスリ 【2】,,,,,,,,,,,,,,,1,,,,,,,,,,,
