調査年月日,2024/9/3,2024/9/13,2024/9/25,2024/10/1,2024/10/15,2024/10/22,2024/11/5,2024/11/12,2024/11/26,2024/12/3,2024/12/17,2024/12/24,2025/1/7,2025/1/14,2025/1/21,2025/2/3,2025/2/12,2025/2/22,2025/3/4,2025/3/18,2025/3/25,2025/4/2,2025/4/16,2025/4/22,2025/5/2,2025/5/14
ヘラサギ,,,,,,,,,,,,,1,,,,,,1,1,1,,,1,,1
クロツラヘラサギ,3,,1,,1,1,,,,,,,,,,,,,,,,,,1,,
ササゴイ,,,,,,,,,,,,,,,,,,,,,,,,,,2
アオサギ 【3】,83,79,51,114,78,75,80,51,56,66,53,37,32,47,48,63,41,30,23,64,34,35,28,10,6,34
ダイサギ,103,54,70,124,82,25,12,8,3,2,5,2,2,2,2,6,,,4,8,16,30,65,17,25,76
コサギ,9,6,10,11,10,,3,10,,3,22,,,3,2,1,1,1,6,31,62,69,74,21,9,6
ミサゴ 【3】,8,9,25,23,19,22,19,18,15,22,21,17,12,9,8,13,14,11,6,16,4,7,2,5,1,3
ハイタカ,,,,,,,1,,,1,1,,,,,,,,,,,,,,,
オオタカ 【1】,,,,,,,,,,,,,,,,1,,,,,,,,,,
チュウヒ,,,,,,1,,1,,,,,1,,,1,1,,,,,1,1,,,
トビ 【3】,4,1,1,3,3,4,4,3,4,4,24,27,15,10,7,9,4,2,2,2,1,3,3,2,,1
カワセミ,,,2,,,,,1,,,,,,,1,,1,2,,1,2,1,1,,,1
アリスイ,,,,,,,,,,,,,,1,,,,,,,,,,,,
ハヤブサ 【1】,,,,,1,1,,1,1,1,,,,1,,,,,,1,,,,,,
アカモズ,,,1,,,,,,,,,,,,,,,,,,,,,,,
モズ,,,,1,3,1,2,2,1,2,1,,,2,,3,,,,,,,,,,
ハシボソガラス,25,25,12,16,45,12,49,13,27,13,36,59,17,14,16,26,23,22,10,36,6,22,20,36,8,50
ハシブトガラス,4,9,8,4,10,6,11,16,25,11,30,14,,,6,,4,1,,2,3,48,43,92,9,30
ヤマガラ,,,,,,,,,,,,,,,,,,,,,2,,,,,
シジュウカラ,5,,,,,1,,,1,,,,,,,,,,,,,,,,,1
ヒヨドリ,,2,9,65,16,47,6,7,5,16,9,8,10,51,27,13,37,9,10,5,13,6,23,2,,2
ツバメ,8,2,1,,,,,,,,,,,,,,,,,,2,12,16,26,23,22
イワツバメ,,,,,,,,,,6,,,,,,,,,,12,7,12,8,13,7,30
ウグイス,,,,,,,,1,,3,2,,,2,,1,1,1,,1,1,,1,,,
センダイムシクイ,,,,,,,,,,,,,,,,,,,,,,,,1,,
オオヨシキリ,,,,,,,,,,,,,,,,,,,,,,,,1,6,25
メジロ,,,,,,4,7,,,,,11,,,,1,,,,3,2,,,,,
ムクドリ,35,18,18,6,44,1,4,7,29,5,,9,7,16,13,16,34,67,3,,4,10,10,12,9,14
ツグミ,,,,,,,,,,,,,,,,,,,2,3,1,,1,,,
キビタキ,,,,,,,,,,,,,,,,,,,,,,,,1,,
ジョウビタキ,,,,,,2,6,9,,,,,1,2,,,,,,,,2,,,,
イソヒヨドリ,,4,4,,2,2,2,2,,1,,1,2,1,,1,,2,1,1,,1,1,,,
ノビタキ,,,3,,,1,,,,,,,,,,,,,,,,1,,,,
スズメ,21,9,24,12,93,35,16,52,55,69,78,18,2,4,,31,16,67,27,13,14,10,22,20,11,18
ハクセキレイ,5,6,2,8,21,15,28,17,23,13,14,9,17,13,13,21,15,12,19,17,13,13,6,11,4,1
ベニマシコ,,,,,,,,,,,,,,,,,,,1,,,,,,,
カワラヒワ,5,5,,,,4,2,,,5,,,1,5,,9,2,2,4,7,4,9,5,13,,9
ホオジロ,,,,,,,,,,,,,,3,,4,,,,,,2,,,,
アオジ,,,,,,,,,,,,,,,,,,,,,2,1,,,,
オオジュリン,,,,,,,3,2,7,3,27,18,7,31,2,35,6,4,22,21,12,10,3,,,
ドバト,17,31,13,10,17,25,59,15,21,15,21,30,25,32,12,29,19,82,13,13,46,13,18,17,12,14
