調査年月日,2024/9/2,2024/9/13,2024/9/24,2024/10/1,2024/10/12,2024/10/25,2024/11/8,2024/11/17,2024/11/25,2024/12/2,2024/12/8,2024/12/24,2025/1/4,2025/1/19,2025/1/24,2025/2/3,2025/2/11,2025/2/25,2025/3/7,2025/3/15,2025/3/25,2025/4/1,2025/4/13,2025/4/25
ツクシガモ,,,,,,,,,,,,,,,,,,,91,,,,,
ハシビロガモ 【3】,,,,,,6,16,9,3,2,,,,,2,,,,,,,,,
オカヨシガモ 【3】,,,,,,2,79,25,45,71,20,49,5,3,6,2,,,,2,3,,,
ヨシガモ 【3】,,,,,,2,43,15,40,42,52,8,,,,,,,,,,,,
ヒドリガモ 【1】,,,6,19,53,293,410,380,397,336,314,39,28,,20,20,,23,15,,,,,
カルガモ 【3】,,,,,14,30,40,45,108,58,36,43,79,42,103,66,56,52,111,59,27,34,22,
マガモ 【2】,,,2,2,2,65,246,38,156,133,136,140,159,205,205,237,248,259,315,284,76,39,8,7
オナガガモ 【2】,,,4,20,7,212,242,258,375,292,62,182,217,107,183,619,194,,657,278,120,60,46,82
コガモ 【3】,,,,,,2,12,5,22,4,,52,10,11,32,18,6,10,23,9,1,39,,10
ホシハジロ 【2】,,,,,5,369,772,6,94,62,14,43,80,9,111,76,14,32,157,1,,,,
キンクロハジロ 【1】,,,,,,6,4,5,23,,,,77,,,2,,,3,,,,,
スズガモ 【2】,1,,1,,15,1148,1433,358,133,157,134,243,476,880,587,757,1179,1870,1711,293,110,135,,69
ホオジロガモ 【3】,,,,,,,,,,,,,,,,,,,49,,3,2,,
ウミアイサ 【3】,,,,,,,,,,4,,,8,2,6,3,,,,,2,4,,
オオバン 【2】,,,,,,77,609,,286,211,195,15,4,2,10,7,2,2,3,1,4,5,,
カイツブリ 【1】,,,,,,1,,,3,,,4,,,,,,,2,,,,,
カンムリカイツブリ 【1】,,,,,,1,8,13,35,14,2,5,2,12,3,,,1,2,5,6,14,,7
ハジロカイツブリ,,,,,,,,1,,,,,1,1,3,,,29,,,1,1,,
セイタカシギ,,,,,,,,,,,,,,,,,,,,,,,,2
ダイゼン,,,,6,2,7,,6,6,7,,6,1,6,6,6,6,6,,1,,,,
ハジロコチドリ,,,,,,,,,,,,,,,,,,,,,,,,1
シロチドリ,3,3,,47,,,,72,8,127,,19,,,,,38,5,,54,,3,2,1
メダイチドリ,2,3,,32,,18,,1,,,,,,,,,,,,,,,,
チュウシャクシギ,,,,,,,,,,,,,,,,,,,,,,,,16
ホウロクシギ,,,,,,,,,,,,,,,,,,,,,1,2,2,1
オオソリハシシギ,,1,2,2,,,,,,,,,,,,,,,,,,3,,
キョウジョシギ,1,,,,,,,,,,,,,,,,,,,,,,,
オバシギ,,,7,9,2,,,,,,,,,,,,,,,,,1,,
トウネン,,20,,30,,1,,,,1,,,,,,,,,,,,,,
ハマシギ,,1,7,7,,23,54,206,8,117,26,41,,,,,,,,101,,,,
ソリハシシギ,29,32,17,16,,1,,,,,,,,,,,,,,,,,,1
イソシギ,2,2,5,2,,,,1,1,1,,2,4,1,6,3,,2,3,,,1,,1
キアシシギ,7,9,3,6,,,,,,,,,,,,,,,,,,,,
アカアシシギ,2,2,1,,,,,,,,,,,,,,,,,,,,,
アオアシシギ,,,,1,,1,,,,,,,,,,,,,,,,,,
ユリカモメ 【1】,,,,,,,,,,,,,1,,,,,1,,,,,,
ウミネコ 【3】,26,30,31,1,1,5,,1,,,,,1,,,,,,,,,,,
カモメ 【3】,,,,,,,,,,,,,1,1,,,,,,,,,,
セグロカモメ 【3】,,,,,,,,,,,,,,,,,,1,,,,,,
カワウ 【3】,77,101,131,44,14,128,7,3,27,849,,2,2,,,,,20,16,,5,4,,6
ヘラサギ,,,,,,,,,,,,,,,,,,,,,,,1,
クロツラヘラサギ,,,,,,12,1,,1,1,,,,,,,,,,1,,5,5,2
アオサギ 【3】,9,9,9,5,5,8,2,2,2,1,,,,,,,,1,54,2,2,,,
ダイサギ,11,41,14,14,7,9,1,,1,,,,,,1,,,,,,5,5,1,1
コサギ,16,9,9,15,2,8,2,2,4,2,,1,1,1,3,1,1,2,2,2,4,3,4,3
ミサゴ 【3】,2,3,4,5,3,6,5,2,5,5,,4,5,1,3,2,2,3,3,,2,2,,3
トビ 【3】,3,1,2,2,,1,2,2,1,2,,2,2,1,1,,,,,,2,,,2
ノスリ 【2】,,,,,,,,,,,,,,,,,1,,,,,,,
ハヤブサ 【1】,,,,,,,1,,,,1,,,,,,,,,,,,,
サギ科,,,2,,,,2,148,,,,,,,,,,,,,,,,
チドリ科,,,,5,10,23,32,32,,30,27,30,,,,,,,,28,,,,
シギ科,,1,4,7,3,2,,7,,16,,,,,,,,,,,,,,
カモメ科 【3】,,,,,,,,,,,,,36,34,24,31,17,21,,,,,,
カモ類,,,,1,1,,1,,15,18,64,127,115,148,149,111,149,166,,17,,,,
シギチドリ類,,,,,,,,,35,,,,,,,,,,,,,,,
