調査年月日,2024/10/14,2024/10/26,2024/11/11,2024/11/25,2024/12/9,2024/12/24,2025/1/5,2025/1/20,2025/2/14,2025/2/24,2025/3/10,2025/3/20
ハシビロガモ 【3】,,,1,5,1,,9,13,4,6,,
オカヨシガモ 【3】,,2,19,51,43,97,81,101,111,72,63,28
ヒドリガモ 【1】,14,70,78,96,116,173,231,334,271,297,250,222
カルガモ 【3】,,2,,,,,,,,,,
オナガガモ 【2】,,,,,6,6,9,6,5,,,
コガモ 【3】,6,35,34,107,109,150,173,162,74,207,133,102
ホシハジロ 【2】,,,,,,,,,5,,,2
キンクロハジロ 【1】,,,2,,,,,,,,,
スズガモ 【2】,,,,,3,,,,,,,
ウミアイサ 【3】,,,1,,,,,,,,,
オオバン 【2】,,2,,1,4,17,11,7,28,26,22,3
カンムリカイツブリ 【1】,,,1,,1,2,4,1,3,2,1,
ハジロカイツブリ,,,,1,,1,,2,3,3,,
