調査年月日,2024/9/4,2024/9/18,2024/9/26,2024/10/9,2024/10/18,2024/10/21,2024/11/8,2024/11/18,2024/11/25,2024/12/2,2024/12/11,2024/12/25,2025/1/7,2025/1/15,2025/1/21,2025/2/10,2025/2/14,2025/2/25,2025/3/10,2025/3/18,2025/3/24,2025/4/4,2025/4/16,2025/4/28,2025/5/1,2025/5/13
コハクチョウ 【1】,,,,,,,,,,,,,,,,,54,,,,,,,,,
ハシビロガモ 【3】,,,,,,,,,,,5,,2,7,4,4,,,,3,26,,,,,
ヒドリガモ 【1】,,,,,18,18,28,18,,37,,6,,,,6,,,6,9,,,,,,
カルガモ 【3】,11,10,2,15,25,30,85,45,48,106,37,47,70,51,65,62,58,21,65,34,46,31,1,12,,
マガモ 【2】,,,,,,,3,,,19,15,24,29,45,27,59,8,2,8,4,6,,,2,,
オナガガモ 【2】,,,,,,,45,30,75,30,,,125,145,63,248,35,36,86,48,,,,,,
コガモ 【3】,,,,,,,,,,,,,,,,,,,,,,,3,,,
ホシハジロ 【2】,,,,,150,100,200,150,38,245,46,27,70,129,55,89,51,55,35,12,35,24,2,,,
キンクロハジロ 【1】,,,,6,8,25,300,150,,320,5,13,30,67,35,5,32,23,31,20,76,30,36,7,1,2
スズガモ 【2】,,,,,1300,700,800,400,835,530,500,460,420,324,550,280,655,618,405,352,360,312,314,563,488,377
ホオジロガモ 【3】,,,,,,,,,,,1,,2,6,6,,13,27,,,,,,,,
カワアイサ 【3】,,,,,,,,,,,,,,,,2,,,,,,,,2,,
ウミアイサ 【3】,,,,,,,,,,,,,,,,,,,,,,4,,,,
オオバン 【2】,,,,,,18,,,5,38,8,5,3,34,36,12,3,6,25,13,13,7,,,,
カイツブリ 【1】,,,,,,,,,,,,,,,,,,2,,,,,,,,
カンムリカイツブリ 【1】,,,,,,,75,75,26,47,166,23,6,7,2,2,,,,,2,1,2,4,4,6
ハジロカイツブリ,,,,,,,,,,,,,,,,1,,,2,,2,,,,,
イソシギ,,,,,,,,,,,,,,,,1,,,1,,,,,,,
カワウ 【3】,5,,8,2,2,6,25,14,3,13,39,14,,,1,,2,,1,4,3,,5,2,,2
アオサギ 【3】,2,,,,,,,,,,,,,,,,,,,,1,,,1,,
チュウサギ,,,,,,,,,,,,,,,,,,,,,,,,1,,
コサギ,,,,,,,,,,,,,,,,,,,,,,,,1,,
ミサゴ 【3】,,,,,,,,,1,,1,,,,,,,,,,,,,,,
トビ 【3】,1,,1,1,,,1,,,,,,,,1,,,,,,2,,,,,
シギ科,,,,,,,,,1,,,,,,,,,,,,,,,2,1,
カモ類,,,,,200,1000,1800,1000,500,2000,200,700,300,350,400,451,486,350,300,200,305,860,170,373,145,
