調査年月日,2024/10/8,2024/10/29,2024/11/12,2024/11/26,2024/12/10,2024/12/24,2025/1/7,2025/1/21,2025/2/12,2025/2/18,2025/3/4,2025/3/18
ツクシガモ,,,,,,10,45,47,14,70,47,38
トモエガモ 【2】,1,,,2,,,,,,,,
ハシビロガモ 【3】,,,,2,,2,30,8,2,69,46,20
オカヨシガモ 【3】,,,,,,,,,,1,2,
ヒドリガモ 【1】,,,,89,112,76,18,34,5,148,3,140
カルガモ 【3】,159,199,663,453,355,219,150,84,29,90,31,8
マガモ 【2】,,10,110,658,248,383,70,210,15,57,19,25
オナガガモ 【2】,,6,7,82,42,12,55,,,15,8,
コガモ 【3】,1,,,171,18,38,18,30,60,102,42,37
ホシハジロ 【2】,4,48,210,429,398,300,112,90,150,60,36,12
メジロガモ 【3】,,,,,1,,,,,,,
キンクロハジロ 【1】,,75,147,53,38,211,111,56,50,98,38,33
スズガモ 【2】,,,,,,,2,,,,,
