調査年月日,2024/10/14,2024/10/31,2024/11/9,2024/11/30,2024/12/10,2024/12/20,2025/1/5,2025/1/26,2025/2/11,2025/2/25,2025/3/9,2025/3/30
ヒシクイ 【1】,,,,,1,2,,5,,,,
マガン 【1】,,,,,,1,,,,,,
オオハクチョウ 【1】,,,,,17,29,22,27,14,30,,
ツクシガモ,,,,,,1,6,3,,,,
オシドリ 【1】,,1,,,,,,,,,,
トモエガモ 【2】,,108,167,16360,,12,802,,,,,
ハシビロガモ 【3】,,2,1,2,10,3,,,,,6,15
オカヨシガモ 【3】,,,,,,,,,5,,4,4
ヨシガモ 【3】,,,,5,14,50,34,48,,120,,
ヒドリガモ 【1】,3,925,409,989,382,768,1314,2790,252,949,1009,261
カルガモ 【3】,38,142,206,157,192,97,161,285,93,109,159,90
マガモ 【2】,6,120,290,271,155,186,179,423,118,124,122,77
オナガガモ 【2】,,26,20,104,1,,8,64,,3,16,
コガモ 【3】,12,36,10,22,55,27,29,,2,7,14,14
ホシハジロ 【2】,2,923,1279,474,950,1001,1992,875,996,930,3050,1057
キンクロハジロ 【1】,,9,87,5,38,45,127,55,57,43,372,274
スズガモ 【2】,,2036,4680,2308,5700,5774,20640,17300,1600,3272,10470,3516
ホオジロガモ 【3】,,,,5,6,7,17,,1,,15,
ミコアイサ 【3】,,,,3,34,2,5,18,32,12,2,
カワアイサ 【3】,,,,,,,,,,2,,
ウミアイサ 【3】,,,,,3,12,103,,1,,,3
